time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha
2024-11-07 17:02:28.012080,27.33,100798.14,36.08,43.96,0.00,0.00,0.00,0.00,0.00,0.00,207,6,4,4,13
2024-11-07 17:02:28.153083,27.34,100799.01,36.13,43.88,0.00,0.00,0.00,0.00,0.00,0.00,618,6,4,4,12
2024-11-07 17:02:28.628112,27.35,100799.10,36.11,43.88,0.00,0.00,0.00,0.00,0.00,0.00,662,5,3,3,11
2024-11-07 17:02:29.107867,27.36,100796.97,36.05,44.06,0.00,0.00,0.00,0.00,0.00,0.00,171,5,3,3,10
2024-11-07 17:02:29.588433,27.38,100801.88,35.92,43.64,0.00,0.00,0.00,0.00,0.00,0.00,669,4,3,2,8
2024-11-07 17:02:30.068303,27.39,100798.12,35.88,43.96,0.00,0.00,0.00,0.00,0.00,0.00,483,2,2,2,5
2024-11-07 17:02:30.547179,27.40,100800.41,35.72,43.77,0.00,0.00,0.00,0.00,0.00,0.00,263,1,1,1,3
2024-11-07 17:02:31.028621,27.41,100799.15,35.55,43.87,0.00,0.00,0.00,0.00,0.00,0.00,180,2,2,2,5
2024-11-07 17:02:31.506281,27.42,100795.62,35.49,44.17,0.00,0.00,0.00,0.00,0.00,0.00,188,3,2,2,6
2024-11-07 17:02:31.992152,27.41,100797.27,35.39,44.03,0.00,0.00,0.00,0.00,0.00,0.00,188,6,5,4,13
2024-11-07 17:02:32.471124,27.43,100796.84,35.24,44.07,0.00,0.00,0.00,0.00,0.00,0.00,190,4,3,2,8
2024-11-07 17:02:32.953094,27.44,100795.68,35.08,44.16,0.00,0.00,0.00,0.00,0.00,0.00,269,3,2,2,7
2024-11-07 17:02:33.430571,27.43,100797.27,34.96,44.03,0.00,0.00,0.00,0.00,0.00,0.00,227,3,3,2,7
2024-11-07 17:02:33.906887,27.44,100800.20,34.80,43.78,0.00,0.00,0.00,0.00,0.00,0.00,213,3,2,2,6
2024-11-07 17:02:34.392736,27.44,100797.45,34.75,44.02,0.00,0.00,0.00,0.00,0.00,0.00,149,2,2,1,5
2024-11-07 17:02:34.866712,27.45,100792.95,34.66,44.39,0.00,0.00,0.00,0.00,0.00,0.00,144,2,1,1,4
2024-11-07 17:02:35.352102,27.46,100793.25,34.50,44.37,0.00,0.00,0.00,0.00,0.00,0.00,151,1,1,1,2
2024-11-07 17:02:35.830077,27.47,100799.00,34.46,43.89,0.00,0.00,0.00,0.00,0.00,0.00,160,0,0,0,1
2024-11-07 17:02:36.313522,27.47,100795.77,34.38,44.16,0.00,0.00,0.00,0.00,0.00,0.00,168,0,0,0,1
2024-11-07 17:02:36.790088,27.46,100798.81,34.33,43.90,0.00,0.00,0.00,0.00,0.00,0.00,259,0,0,1,1
2024-11-07 17:02:37.274157,27.45,100796.29,34.26,44.11,0.00,0.00,0.00,0.00,0.00,0.00,246,0,1,1,2
2024-11-07 17:02:37.748891,27.46,100798.06,34.20,43.96,0.00,0.00,0.00,0.00,0.00,0.00,203,0,1,1,1
2024-11-07 17:02:38.231557,27.47,100799.48,34.16,43.84,0.00,0.00,0.00,0.00,0.00,0.00,149,0,1,1,2
2024-11-07 17:02:38.708352,27.47,100798.29,34.14,43.95,0.00,0.00,0.00,0.00,0.00,0.00,216,0,1,1,2
2024-11-07 17:02:39.189058,27.46,100799.23,34.06,43.87,0.00,0.00,0.00,0.00,0.00,0.00,185,0,1,1,2
2024-11-07 17:02:39.674116,27.46,100797.52,34.08,44.01,0.00,0.00,0.00,0.00,0.00,0.00,178,0,1,1,2
2024-11-07 17:02:40.146296,27.46,100796.55,34.04,44.09,0.00,0.00,0.00,0.00,0.00,0.00,190,0,1,1,2
2024-11-07 17:02:40.629570,27.47,100799.00,33.95,43.89,0.00,0.00,0.00,0.00,0.00,0.00,1173,1,1,1,2
2024-11-07 17:02:41.111055,27.45,100803.47,33.88,43.51,0.00,0.00,0.00,0.00,0.00,0.00,1209,0,1,1,2
2024-11-07 17:02:41.590093,27.47,100800.52,33.85,43.76,0.00,0.00,0.00,0.00,0.00,0.00,280,1,1,1,2
2024-11-07 17:02:42.073286,27.47,100801.04,33.86,43.72,0.00,0.00,0.00,0.00,0.00,0.00,713,1,1,1,2
2024-11-07 17:02:42.553016,27.45,100798.88,33.78,43.90,0.00,0.00,0.00,0.00,0.00,0.00,227,2,2,2,6
2024-11-07 17:02:43.030380,27.46,100798.55,33.76,43.92,0.00,0.00,0.00,0.00,0.00,0.00,261,8,6,5,16
2024-11-07 17:02:43.512518,27.45,100798.20,33.72,43.95,0.00,0.00,0.00,0.00,0.00,0.00,1553,2,1,1,4
2024-11-07 17:02:43.989908,27.44,100794.94,33.69,44.23,0.00,0.00,0.00,0.00,0.00,0.00,938,1,1,1,4
2024-11-07 17:02:44.466700,27.45,100799.10,33.72,43.88,0.00,0.00,0.00,0.00,0.00,0.00,1121,2,2,2,5
2024-11-07 17:02:44.947720,27.46,100802.05,33.74,43.63,0.00,0.00,0.00,0.00,0.00,0.00,445,4,3,3,10
2024-11-07 17:02:45.428953,27.46,100799.13,33.66,43.87,0.00,0.00,0.00,0.00,0.00,0.00,332,7,5,5,16
2024-11-07 17:02:45.906321,27.46,100799.30,33.67,43.86,0.00,0.00,0.00,0.00,0.00,0.00,284,16,11,10,34
2024-11-07 17:02:46.393257,27.46,100798.81,33.65,43.90,0.00,0.00,0.00,0.00,0.00,0.00,213,25,17,16,53
2024-11-07 17:02:46.873782,27.46,100799.03,33.64,43.88,0.00,0.00,0.00,0.00,0.00,0.00,156,6,4,4,15
2024-11-07 17:02:47.348036,27.45,100799.04,33.57,43.88,0.00,0.00,0.00,0.00,0.00,0.00,733,4,3,3,9
2024-11-07 17:02:47.833419,27.45,100796.91,33.59,44.06,0.00,0.00,0.00,0.00,0.00,0.00,338,4,3,3,9
2024-11-07 17:02:48.306349,27.43,100802.19,33.58,43.62,0.00,0.00,0.00,0.00,0.00,0.00,260,2,2,2,6
2024-11-07 17:02:48.791942,27.40,100797.50,33.56,44.01,0.00,0.00,0.00,0.00,0.00,0.00,253,1,1,1,3
2024-11-07 17:02:49.271899,27.42,100799.08,33.52,43.88,0.00,0.00,0.00,0.00,0.00,0.00,248,1,1,1,2
2024-11-07 17:02:49.750815,27.40,100797.50,33.54,44.01,0.00,0.00,0.00,0.00,0.00,0.00,1423,1,1,1,3
2024-11-07 17:02:50.229062,27.39,100798.44,33.55,43.93,0.00,0.00,0.00,0.00,0.00,0.00,1104,4,3,3,9
2024-11-07 17:02:50.708021,27.38,100798.31,33.52,43.95,0.00,0.00,0.00,0.00,0.00,0.00,1038,17,12,11,36
2024-11-07 17:02:51.191845,27.36,100798.26,33.53,43.95,0.00,0.00,0.00,0.00,0.00,0.00,821,13,9,9,28
2024-11-07 17:02:51.673690,27.37,100798.45,33.56,43.93,0.00,0.00,0.00,0.00,0.00,0.00,836,4,3,3,9
2024-11-07 17:02:52.151835,27.37,100798.84,33.49,43.90,0.00,0.00,0.00,0.00,0.00,0.00,1749,4,3,3,10
2024-11-07 17:02:52.632258,27.36,100798.52,33.54,43.93,0.00,0.00,0.00,0.00,0.00,0.00,926,2,2,2,5
2024-11-07 17:02:53.111992,27.36,100798.42,33.51,43.93,0.00,0.00,0.00,0.00,0.00,0.00,886,1,1,1,3
2024-11-07 17:02:53.591655,27.35,100799.27,33.50,43.86,0.00,0.00,0.00,0.00,0.00,0.00,203,1,1,1,2
2024-11-07 17:02:54.072221,27.35,100799.27,33.48,43.86,0.00,0.00,0.00,0.00,0.00,0.00,215,0,1,1,2
2024-11-07 17:02:54.547600,27.34,100797.33,33.50,44.03,0.00,0.00,0.00,0.00,0.00,0.00,821,2,2,2,5
2024-11-07 17:02:55.032488,27.34,100802.24,33.53,43.61,0.00,0.00,0.00,0.00,0.00,0.00,1171,8,6,6,18
2024-11-07 17:02:55.510633,27.33,100800.85,33.50,43.73,0.00,0.00,0.00,0.00,0.00,0.00,1219,7,5,5,15
2024-11-07 17:02:55.987472,27.32,100800.86,33.50,43.73,0.00,0.00,0.00,0.00,0.00,0.00,769,2,1,2,5
2024-11-07 17:02:56.471995,27.31,100801.57,33.48,43.67,0.00,0.00,0.00,0.00,0.00,0.00,875,2,2,2,5
2024-11-07 17:02:56.951657,27.29,100801.90,33.48,43.64,0.00,0.00,0.00,0.00,0.00,0.00,771,0,0,0,1
2024-11-07 17:02:57.429400,27.28,100803.36,33.47,43.52,0.00,0.00,0.00,0.00,0.00,0.00,1550,0,0,0,1
2024-11-07 17:02:57.913233,27.28,100803.48,33.54,43.51,0.00,0.00,0.00,0.00,0.00,0.00,855,0,0,0,1
2024-11-07 17:02:58.391850,27.27,100802.09,33.54,43.63,0.00,0.00,0.00,0.00,0.00,0.00,1070,0,0,0,1
2024-11-07 17:02:58.872753,27.26,100802.16,33.53,43.62,0.00,0.00,0.00,0.00,0.00,0.00,1073,0,0,0,1
2024-11-07 17:02:59.349977,27.24,100801.78,33.50,43.65,0.00,0.00,0.00,0.00,0.00,0.00,1039,0,0,0,0
2024-11-07 17:02:59.831851,27.23,100802.05,33.55,43.63,0.00,0.00,0.00,0.00,0.00,0.00,679,0,0,0,0
2024-11-07 17:03:00.309764,27.22,100803.95,33.52,43.47,0.00,0.00,0.00,0.00,0.00,0.00,1202,1,1,1,3
2024-11-07 17:03:00.790036,27.21,100803.21,33.55,43.53,0.00,0.00,0.00,0.00,0.00,0.00,410,3,2,2,6
2024-11-07 17:03:01.271704,27.20,100807.70,33.54,43.16,0.00,0.00,0.00,0.00,0.00,0.00,1161,0,0,0,1
2024-11-07 17:03:01.752559,27.20,100803.89,33.58,43.48,0.00,0.00,0.00,0.00,0.00,0.00,1014,1,1,1,2
2024-11-07 17:03:02.232927,27.19,100802.25,33.66,43.61,0.00,0.00,0.00,0.00,0.00,0.00,795,0,0,0,1
2024-11-07 17:03:02.706410,27.17,100801.70,33.62,43.66,0.00,0.00,0.00,0.00,0.00,0.00,513,3,2,2,6
2024-11-07 17:03:03.191431,27.16,100802.22,33.65,43.62,0.00,0.00,0.00,0.00,0.00,0.00,776,1,1,1,3
2024-11-07 17:03:03.667006,27.15,100803.58,33.67,43.50,0.00,0.00,0.00,0.00,0.00,0.00,763,0,0,0,1
2024-11-07 17:03:04.146677,27.14,100804.09,33.63,43.46,0.00,0.00,0.00,0.00,0.00,0.00,337,1,1,1,2
2024-11-07 17:03:04.631744,27.13,100805.27,33.63,43.36,0.00,0.00,0.00,0.00,0.00,0.00,727,0,0,0,1
2024-11-07 17:03:05.111783,27.12,100806.14,33.70,43.29,0.00,0.00,0.00,0.00,0.00,0.00,482,0,0,0,1
2024-11-07 17:03:05.586116,27.10,100805.43,33.68,43.35,0.00,0.00,0.00,0.00,0.00,0.00,195,0,0,0,1
2024-11-07 17:03:06.071366,27.06,100802.78,33.72,43.57,0.00,0.00,0.00,0.00,0.00,0.00,203,0,0,0,1
2024-11-07 17:03:06.549868,27.05,100800.78,33.80,43.74,0.00,0.00,0.00,0.00,0.00,0.00,1378,0,0,0,1
2024-11-07 17:03:07.032078,27.04,100802.40,33.78,43.60,0.00,0.00,0.00,0.00,0.00,0.00,803,0,0,0,0
2024-11-07 17:03:07.511460,27.03,100805.77,33.79,43.32,0.00,0.00,0.00,0.00,0.00,0.00,696,0,0,0,0
2024-11-07 17:03:07.989428,27.05,100805.38,33.82,43.35,0.00,0.00,0.00,0.00,0.00,0.00,1478,0,0,0,0
2024-11-07 17:03:08.471713,27.05,100801.52,33.77,43.67,0.00,0.00,0.00,0.00,0.00,0.00,132,0,0,0,0
2024-11-07 17:03:08.952923,27.05,100804.83,33.82,43.40,0.00,0.00,0.00,0.00,0.00,0.00,307,0,0,0,0
2024-11-07 17:03:09.429115,27.04,100802.40,33.79,43.60,0.00,0.00,0.00,0.00,0.00,0.00,361,0,0,0,0
2024-11-07 17:03:09.913000,27.04,100801.50,33.79,43.68,0.00,0.00,0.00,0.00,0.00,0.00,155,0,0,0,1
2024-11-07 17:03:10.393484,27.04,100802.59,33.86,43.58,0.00,0.00,0.00,0.00,0.00,0.00,162,2,1,1,4
