timestamp,ax,ay,az,gx,gy,gz
0,0.4,-10.27,-0.41,-0.12,-0.02,-0.0
10,0.43,-10.32,-0.39,-0.13,-0.02,-0.0
20,0.43,-10.38,-0.41,-0.15,-0.03,-0.0
30,0.4,-10.42,-0.38,-0.16,-0.04,-0.01
40,0.39,-10.45,-0.41,-0.18,-0.06,-0.04
50,0.43,-10.51,-0.43,-0.2,-0.08,-0.07
60,0.45,-10.6,-0.53,-0.22,-0.08,-0.1
70,0.51,-10.7,-0.6,-0.26,-0.07,-0.1
80,0.51,-10.74,-0.73,-0.31,-0.04,-0.1
90,0.46,-10.76,-0.84,-0.36,0.01,-0.09
100,0.4,-10.78,-0.89,-0.42,0.06,-0.1
110,0.36,-10.81,-0.89,-0.46,0.1,-0.12
120,0.31,-10.88,-0.9,-0.48,0.12,-0.17
130,0.36,-10.92,-0.91,-0.48,0.1,-0.23
140,0.47,-10.95,-0.9,-0.47,0.06,-0.31
150,0.62,-10.93,-0.88,-0.44,0.02,-0.36
160,0.81,-10.92,-0.92,-0.42,-0.03,-0.39
170,0.91,-10.89,-0.98,-0.42,-0.07,-0.4
180,0.98,-10.82,-1.09,-0.45,-0.1,-0.38
190,1.07,-10.79,-1.28,-0.49,-0.09,-0.36
200,1.16,-10.8,-1.48,-0.55,-0.06,-0.36
210,1.21,-10.77,-1.64,-0.61,-0.01,-0.4
220,1.25,-10.67,-1.81,-0.66,0.03,-0.44
230,1.37,-10.48,-1.96,-0.7,0.07,-0.49
240,1.55,-10.27,-2.13,-0.71,0.1,-0.53
250,1.79,-10.05,-2.3,-0.71,0.11,-0.54
260,2.04,-9.84,-2.43,-0.69,0.11,-0.53
270,2.24,-9.62,-2.62,-0.64,0.1,-0.5
280,2.44,-9.35,-2.71,-0.58,0.06,-0.48
290,2.66,-9.05,-2.76,-0.51,0.01,-0.45
300,2.93,-8.8,-2.84,-0.43,-0.03,-0.42
310,3.15,-8.57,-2.88,-0.33,-0.06,-0.4
320,3.27,-8.38,-2.85,-0.24,-0.07,-0.33
330,3.42,-8.21,-2.79,-0.16,-0.06,-0.23
340,3.44,-8.09,-2.72,-0.1,-0.06,-0.13
350,3.51,-7.97,-2.75,-0.05,-0.06,-0.02
360,3.65,-7.91,-2.84,-0.02,-0.04,0.08
370,3.78,-7.79,-2.93,0.01,-0.01,0.18
380,3.8,-7.69,-2.93,0.07,-0.0,0.26
390,3.75,-7.59,-2.83,0.17,-0.05,0.34
400,3.59,-7.48,-2.72,0.34,-0.17,0.44
410,3.56,-7.39,-2.71,0.55,-0.31,0.58
420,3.61,-7.38,-2.84,0.76,-0.45,0.72
430,3.65,-7.33,-2.97,0.94,-0.56,0.87
440,3.9,-7.36,-3.13,1.09,-0.63,1.04
450,4.29,-7.29,-3.36,1.21,-0.62,1.23
460,4.66,-7.02,-3.54,1.35,-0.52,1.5
470,5.06,-6.51,-3.8,1.52,-0.33,1.91
480,5.29,-6.01,-3.92,1.72,-0.04,2.45
490,5.06,-5.71,-3.59,1.94,0.26,3.1
500,4.33,-5.51,-2.97,2.12,0.42,3.75
510,3.82,-5.23,-2.64,2.28,0.37,4.35
520,3.37,-4.74,-2.3,2.45,0.25,4.95
530,2.85,-4.1,-1.71,2.64,0.04,5.6
540,2.38,-3.26,-1.19,2.83,-0.22,6.31
550,1.53,-2.31,-0.65,3.0,-0.51,7.05
560,0.43,-1.5,0.06,3.14,-0.77,7.81
570,-1.21,-0.73,1.29,3.25,-1.1,8.43
580,-3.31,-0.01,2.57,3.32,-1.53,8.73
590,-6.05,0.27,3.69,3.31,-1.89,8.73
600,-8.44,0.47,3.96,3.16,-2.14,8.73
610,-9.86,-0.14,4.52,2.95,-2.15,8.59
620,-11.22,-1.9,5.98,2.56,-1.83,7.95
630,-13.03,-2.77,7.05,1.93,-1.33,6.99
640,-15.44,-1.69,6.82,1.26,-0.86,5.67
650,-16.5,-1.33,6.69,0.81,-0.45,4.25
660,-17.3,-0.28,7.45,0.71,0.05,3.0
670,-17.83,1.1,8.42,0.86,0.46,1.99
680,-17.62,1.84,9.19,1.03,0.67,1.16
690,-16.92,2.13,9.56,1.02,0.67,0.55
700,-15.62,2.05,9.76,0.83,0.5,0.15
710,-14.03,1.59,9.56,0.53,0.29,-0.06
720,-12.76,1.08,8.82,0.22,-0.02,-0.1
730,-11.43,0.41,7.82,0.03,-0.42,-0.03
740,-10.29,-0.5,6.66,-0.03,-0.74,0.1
750,-9.45,-1.2,5.49,-0.05,-0.96,0.26
760,-8.88,-1.77,4.61,-0.06,-1.04,0.35
770,-8.43,-2.11,3.92,-0.09,-0.96,0.39
