timestamp,ax,ay,az,gx,gy,gz
0,-1.21,-10.01,1.06,-0.23,-0.03,-0.09
10,-1.18,-10.15,0.99,-0.19,-0.04,-0.08
20,-1.4,-10.23,0.98,-0.17,-0.02,-0.09
30,-1.51,-10.39,1.02,-0.18,0.01,-0.1
40,-1.49,-10.53,0.98,-0.22,0.06,-0.12
50,-1.45,-10.64,0.97,-0.29,0.11,-0.16
60,-1.41,-10.72,0.97,-0.37,0.16,-0.21
70,-1.35,-10.67,0.91,-0.44,0.17,-0.27
80,-1.27,-10.7,0.9,-0.48,0.14,-0.33
90,-1.17,-10.68,0.8,-0.47,0.08,-0.38
100,-1.12,-10.63,0.71,-0.42,0.01,-0.4
110,-0.99,-10.57,0.61,-0.35,-0.06,-0.41
120,-0.86,-10.52,0.58,-0.28,-0.08,-0.42
130,-0.91,-10.39,0.54,-0.26,-0.07,-0.42
140,-0.84,-10.3,0.48,-0.26,-0.04,-0.43
150,-0.88,-10.2,0.46,-0.29,0.01,-0.45
160,-0.93,-10.14,0.57,-0.32,0.06,-0.46
170,-0.94,-10.08,0.69,-0.35,0.09,-0.47
180,-1.1,-10.03,0.71,-0.36,0.07,-0.48
190,-1.07,-10.02,0.64,-0.36,-0.0,-0.5
200,-1.03,-10.01,0.6,-0.34,-0.1,-0.49
210,-1.0,-9.95,0.53,-0.31,-0.19,-0.46
220,-0.89,-9.87,0.43,-0.27,-0.24,-0.42
230,-0.91,-9.85,0.43,-0.25,-0.24,-0.39
240,-1.02,-9.78,0.46,-0.26,-0.21,-0.38
250,-1.04,-9.71,0.49,-0.28,-0.17,-0.39
260,-0.94,-9.68,0.52,-0.3,-0.15,-0.41
270,-0.8,-9.57,0.41,-0.33,-0.11,-0.43
280,-0.67,-9.42,0.3,-0.35,-0.08,-0.43
290,-0.55,-9.36,0.27,-0.34,-0.11,-0.42
300,-0.43,-9.31,0.23,-0.32,-0.15,-0.39
310,-0.28,-9.38,0.17,-0.3,-0.18,-0.36
320,-0.13,-9.42,0.15,-0.29,-0.2,-0.34
330,-0.03,-9.48,0.09,-0.27,-0.19,-0.31
340,-0.03,-9.5,0.08,-0.26,-0.18,-0.28
350,-0.01,-9.49,0.08,-0.23,-0.18,-0.27
360,-0.02,-9.44,0.12,-0.2,-0.19,-0.25
370,-0.07,-9.46,0.13,-0.16,-0.2,-0.24
380,-0.13,-9.38,0.08,-0.13,-0.24,-0.22
390,-0.05,-9.39,0.04,-0.12,-0.26,-0.2
400,-0.03,-9.39,-0.04,-0.13,-0.25,-0.17
410,0.0,-9.39,-0.05,-0.16,-0.22,-0.14
420,0.05,-9.41,-0.1,-0.19,-0.19,-0.12
