timestamp,ax,ay,az,gx,gy,gz
0,0.3,-10.32,-1.91,-0.09,-0.04,-0.3
10,0.24,-10.38,-1.84,-0.1,-0.04,-0.31
20,0.23,-10.47,-1.77,-0.12,-0.06,-0.33
30,0.24,-10.49,-1.82,-0.14,-0.08,-0.36
40,0.23,-10.52,-1.86,-0.15,-0.08,-0.38
50,0.22,-10.59,-1.88,-0.16,-0.08,-0.4
60,0.22,-10.63,-1.93,-0.18,-0.07,-0.42
70,0.23,-10.65,-1.99,-0.2,-0.05,-0.45
80,0.21,-10.73,-1.94,-0.2,-0.04,-0.48
90,0.19,-10.81,-1.92,-0.2,-0.03,-0.52
100,0.19,-10.89,-1.91,-0.2,-0.04,-0.58
110,0.18,-10.96,-1.9,-0.19,-0.06,-0.65
120,0.21,-11.0,-1.94,-0.2,-0.08,-0.74
130,0.32,-11.01,-2.05,-0.22,-0.1,-0.83
140,0.46,-10.95,-2.14,-0.24,-0.09,-0.91
150,0.7,-10.89,-2.2,-0.27,-0.08,-0.99
160,0.91,-10.83,-2.29,-0.29,-0.06,-1.05
170,1.13,-10.79,-2.41,-0.32,-0.05,-1.09
180,1.29,-10.76,-2.54,-0.34,-0.04,-1.13
190,1.35,-10.78,-2.64,-0.35,-0.05,-1.16
200,1.4,-10.69,-2.68,-0.38,-0.05,-1.21
210,1.59,-10.53,-2.82,-0.41,-0.01,-1.27
220,1.83,-10.19,-2.9,-0.45,0.05,-1.33
230,2.17,-9.82,-2.98,-0.48,0.12,-1.37
240,2.59,-9.41,-3.09,-0.49,0.17,-1.41
250,2.99,-9.1,-3.31,-0.48,0.17,-1.44
260,3.33,-8.86,-3.45,-0.46,0.13,-1.48
270,3.62,-8.59,-3.59,-0.43,0.08,-1.5
280,3.88,-8.37,-3.74,-0.41,0.07,-1.52
290,4.17,-8.06,-3.87,-0.4,0.1,-1.51
300,4.57,-7.7,-4.01,-0.42,0.18,-1.47
310,5.05,-7.26,-4.08,-0.45,0.26,-1.42
320,5.45,-6.88,-4.25,-0.47,0.32,-1.35
330,5.8,-6.62,-4.41,-0.48,0.32,-1.28
340,6.13,-6.35,-4.6,-0.46,0.3,-1.2
350,6.44,-6.16,-4.76,-0.43,0.29,-1.1
360,6.79,-5.97,-4.98,-0.39,0.33,-0.99
370,7.14,-5.69,-5.11,-0.36,0.37,-0.86
380,7.51,-5.3,-5.2,-0.34,0.43,-0.71
390,7.88,-4.88,-5.23,-0.34,0.48,-0.53
400,8.19,-4.3,-5.31,-0.35,0.52,-0.35
410,8.46,-3.59,-5.26,-0.37,0.52,-0.17
420,8.72,-2.83,-5.38,-0.38,0.53,0.02
430,9.05,-2.06,-5.51,-0.37,0.52,0.23
440,9.38,-1.17,-5.6,-0.31,0.5,0.45
450,9.96,-0.29,-5.76,-0.19,0.43,0.72
460,10.5,0.37,-6.03,-0.01,0.31,1.06
470,10.8,0.87,-6.37,0.28,0.18,1.52
480,10.99,1.29,-6.41,0.64,0.09,2.11
490,11.03,1.74,-6.23,1.04,-0.05,2.78
500,10.73,1.98,-6.12,1.48,-0.22,3.53
510,9.96,2.59,-5.71,1.9,-0.32,4.33
520,9.28,3.16,-5.14,2.31,-0.3,5.13
530,8.58,3.69,-4.58,2.72,-0.33,5.94
540,7.86,4.19,-3.85,3.18,-0.36,6.81
550,7.03,4.44,-3.52,3.64,-0.31,7.91
560,5.48,5.43,-3.04,4.03,-0.01,8.73
570,2.68,7.23,-2.13,4.33,0.5,8.73
580,-2.86,8.6,0.1,4.5,1.23,8.73
590,-8.33,9.83,2.9,4.31,1.95,8.73
600,-14.67,9.56,4.93,3.97,1.84,8.73
610,-23.14,7.37,7.86,3.71,1.01,8.73
620,-27.76,5.47,9.22,3.25,-0.19,8.73
630,-29.28,4.47,9.75,2.73,-1.12,7.58
640,-27.92,3.33,9.15,2.3,-1.42,5.48
650,-24.84,3.31,8.54,1.95,-1.07,4.75
660,-21.13,3.65,7.79,1.59,-0.31,5.08
670,-19.45,4.63,7.2,1.24,0.53,5.82
680,-19.92,5.28,6.9,1.04,0.96,6.35
690,-21.24,4.62,6.15,1.13,0.67,6.21
700,-23.25,3.46,5.5,1.51,-0.12,5.37
710,-23.97,2.1,4.8,1.9,-0.88,3.96
720,-23.4,0.51,4.28,1.94,-1.16,2.45
730,-21.19,0.06,4.6,1.57,-0.82,1.32
740,-17.93,0.27,5.39,0.94,-0.15,0.76
750,-14.81,0.76,6.06,0.32,0.47,0.68
760,-12.58,1.0,6.26,-0.13,0.69,0.79
770,-11.43,0.92,5.95,-0.32,0.53,0.81
780,-11.37,0.69,5.22,-0.31,0.16,0.69
790,-11.54,0.63,4.28,-0.23,-0.17,0.47
800,-11.13,0.51,3.34,-0.19,-0.29,0.22
810,-10.16,0.43,2.77,-0.22,-0.14,0.05
820,-9.03,0.48,2.51,-0.3,0.13,0.0
830,-8.33,0.73,2.5,-0.35,0.33,0.05
840,-8.22,0.84,2.51,-0.32,0.33,0.11
850,-8.6,0.87,2.56,-0.23,0.18,0.18
860,-9.26,0.82,2.48,-0.13,-0.02,0.21
870,-9.85,0.68,2.33,-0.05,-0.18,0.19
880,-10.07,0.47,2.23,0.01,-0.23,0.12
890,-9.77,0.26,2.16,0.03,-0.2,0.03
900,-9.17,0.15,2.23,0.03,-0.13,-0.06
910,-8.65,0.21,2.34,0.01,-0.11,-0.11
920,-8.46,0.4,2.59,-0.0,-0.16,-0.11
930,-8.59,0.58,2.86,-0.02,-0.27,-0.09
940,-9.02,0.69,3.0,-0.04,-0.38,-0.06
950,-9.51,0.74,3.05,-0.05,-0.43,-0.06
960,-9.8,0.55,2.85,-0.07,-0.36,-0.07
970,-9.64,0.4,2.48,-0.13,-0.15,-0.08
980,-9.13,0.35,2.15,-0.21,0.1,-0.09
990,-8.52,0.38,1.93,-0.28,0.28,-0.07
