timestamp,ax,ay,az,gx,gy,gz
0,0.48,-10.49,-1.37,-0.15,0.03,-0.39
10,0.36,-10.5,-1.18,-0.11,0.02,-0.36
20,0.14,-10.57,-0.93,-0.11,-0.02,-0.41
30,0.0,-10.61,-0.7,-0.15,-0.09,-0.54
40,0.05,-10.62,-0.74,-0.22,-0.14,-0.68
50,0.32,-10.57,-0.99,-0.29,-0.17,-0.82
60,0.69,-10.46,-1.3,-0.34,-0.16,-0.88
70,1.11,-10.34,-1.58,-0.34,-0.12,-0.86
80,1.41,-10.25,-1.86,-0.31,-0.06,-0.76
90,1.53,-10.17,-1.89,-0.25,-0.03,-0.64
100,1.45,-10.11,-1.88,-0.19,0.0,-0.57
110,1.3,-10.11,-1.72,-0.15,0.02,-0.57
120,1.27,-10.09,-1.63,-0.15,0.04,-0.63
130,1.3,-10.03,-1.56,-0.18,0.04,-0.73
140,1.46,-9.96,-1.57,-0.23,0.04,-0.8
150,1.72,-9.86,-1.68,-0.29,0.03,-0.86
160,2.01,-9.73,-1.81,-0.32,0.02,-0.87
170,2.39,-9.66,-2.04,-0.32,0.03,-0.85
180,2.66,-9.61,-2.31,-0.28,0.03,-0.79
190,2.9,-9.51,-2.51,-0.2,0.03,-0.72
200,2.85,-9.47,-2.51,-0.11,0.05,-0.65
210,2.74,-9.42,-2.25,-0.08,0.07,-0.62
220,2.75,-9.35,-2.19,-0.1,0.06,-0.67
230,2.79,-9.28,-2.2,-0.17,0.03,-0.75
240,2.98,-9.19,-2.33,-0.27,0.02,-0.83
250,3.3,-9.09,-2.57,-0.37,0.06,-0.86
260,3.67,-8.88,-2.85,-0.48,0.15,-0.82
270,4.02,-8.63,-3.16,-0.57,0.25,-0.72
280,4.39,-8.41,-3.5,-0.64,0.32,-0.61
290,4.64,-8.09,-3.77,-0.67,0.35,-0.5
300,4.77,-7.87,-4.04,-0.65,0.34,-0.42
310,4.83,-7.53,-4.21,-0.6,0.32,-0.38
320,4.95,-7.19,-4.41,-0.55,0.31,-0.39
330,5.21,-6.84,-4.6,-0.48,0.33,-0.41
340,5.58,-6.5,-4.72,-0.44,0.36,-0.42
350,5.95,-6.07,-4.82,-0.39,0.39,-0.39
360,6.45,-5.64,-5.0,-0.36,0.4,-0.3
370,6.8,-5.1,-5.24,-0.31,0.4,-0.17
380,7.07,-4.57,-5.46,-0.2,0.31,-0.04
390,7.25,-4.04,-5.67,-0.05,0.13,0.07
400,7.45,-3.62,-5.93,0.16,-0.02,0.18
410,7.56,-3.05,-6.14,0.43,-0.12,0.31
420,7.64,-2.36,-6.3,0.72,-0.16,0.46
430,7.99,-1.37,-6.32,1.02,-0.13,0.67
440,8.83,0.12,-6.39,1.31,-0.05,0.96
450,10.42,1.3,-6.8,1.56,0.07,1.41
460,12.59,1.94,-7.21,1.9,0.02,2.21
470,14.29,1.94,-7.37,2.4,-0.29,3.65
480,14.89,2.15,-7.26,3.06,-0.44,5.82
490,13.88,3.08,-6.61,3.75,-0.26,8.55
500,10.55,5.69,-5.19,4.29,0.52,8.73
510,5.78,9.93,-3.32,4.5,1.97,8.73
520,-0.2,15.39,-1.13,4.35,3.82,8.73
530,-7.76,20.2,1.54,4.2,5.02,8.73
540,-16.7,18.1,1.87,4.51,4.62,8.73
550,-26.04,16.85,5.24,5.77,2.64,8.73
560,-30.2,15.56,9.37,7.15,-0.34,8.73
570,-32.72,5.07,11.06,6.93,-3.58,8.17
580,-31.92,2.91,13.5,5.26,-4.85,3.63
590,-28.29,6.35,12.11,2.59,-3.47,2.34
600,-23.5,8.64,10.6,-0.33,-0.68,3.05
610,-20.22,7.68,7.72,-1.83,1.13,3.35
620,-18.36,8.19,6.26,-1.5,1.03,2.75
630,-17.8,8.14,5.17,-0.4,0.02,2.07
640,-17.59,7.46,3.41,0.58,-0.5,1.77
650,-17.0,5.93,1.9,1.03,-0.35,1.58
660,-15.52,4.38,1.94,0.96,0.03,1.32
670,-13.75,2.73,3.14,0.6,0.31,0.92
680,-12.13,2.48,4.18,0.25,0.33,0.46
690,-11.12,2.72,4.47,0.06,0.2,0.15
700,-10.66,2.91,4.37,-0.03,0.19,0.06
710,-10.24,2.83,4.18,-0.07,0.33,0.08
720,-9.81,2.54,4.15,-0.07,0.5,0.1
730,-9.17,2.07,3.91,-0.04,0.55,0.1
740,-8.49,1.59,3.56,0.03,0.43,0.08
750,-8.07,1.33,3.28,0.1,0.24,0.06
760,-8.06,1.27,3.06,0.11,0.07,0.06
770,-8.56,1.28,2.83,0.07,-0.01,0.07
780,-9.24,1.33,2.71,0.01,0.01,0.06
790,-9.81,1.43,2.76,-0.08,0.14,0.05
800,-10.09,1.65,2.76,-0.15,0.27,0.02
810,-9.94,1.75,2.52,-0.17,0.32,0.03
820,-9.64,1.66,2.18,-0.12,0.23,0.06
830,-9.24,1.18,1.81,-0.06,0.11,0.05
840,-8.85,0.85,1.61,-0.01,-0.0,0.01
850,-8.68,0.86,1.58,0.02,-0.11,-0.0
860,-8.84,1.03,1.67,0.05,-0.2,0.0
870,-9.25,1.19,1.86,0.05,-0.24,0.01
880,-9.73,1.29,2.09,0.0,-0.19,-0.01
890,-10.04,1.36,2.39,-0.09,-0.11,-0.07
900,-10.0,1.37,2.45,-0.19,-0.05,-0.13
910,-9.61,1.29,2.31,-0.25,-0.07,-0.17
920,-9.1,1.22,2.07,-0.27,-0.15,-0.21
930,-8.71,1.26,1.75,-0.23,-0.25,-0.2
940,-8.65,1.33,1.53,-0.15,-0.33,-0.16
950,-8.87,1.3,1.42,-0.05,-0.36,-0.11
960,-9.3,1.22,1.5,0.03,-0.32,-0.09
970,-9.67,1.1,1.72,0.04,-0.14,-0.08
980,-9.76,1.04,1.99,-0.03,0.1,-0.07
990,-9.65,0.89,2.14,-0.13,0.26,-0.08
