timestamp,ax,ay,az,gx,gy,gz
0,-0.49,-10.39,-0.4,-0.12,-0.0,-0.01
10,-0.52,-10.32,-0.42,-0.12,-0.0,-0.1
20,-0.45,-10.21,-0.39,-0.13,0.0,-0.17
30,-0.34,-10.1,-0.38,-0.13,0.01,-0.21
40,-0.19,-10.08,-0.4,-0.15,0.02,-0.2
50,-0.06,-10.14,-0.51,-0.17,0.02,-0.18
60,-0.05,-10.15,-0.56,-0.18,0.02,-0.15
70,-0.09,-10.21,-0.61,-0.18,0.02,-0.13
80,-0.13,-10.24,-0.65,-0.17,0.02,-0.14
90,-0.11,-10.23,-0.68,-0.15,0.01,-0.19
100,-0.06,-10.1,-0.62,-0.14,0.0,-0.26
110,0.09,-9.95,-0.62,-0.13,0.0,-0.33
120,0.3,-9.81,-0.63,-0.13,0.01,-0.36
130,0.51,-9.7,-0.64,-0.13,0.02,-0.36
140,0.7,-9.7,-0.68,-0.14,0.02,-0.34
150,0.9,-9.68,-0.7,-0.14,0.01,-0.29
160,1.02,-9.6,-0.7,-0.13,-0.0,-0.24
170,1.03,-9.57,-0.68,-0.1,-0.02,-0.2
180,1.08,-9.51,-0.69,-0.07,-0.04,-0.17
190,1.14,-9.42,-0.7,-0.06,-0.05,-0.18
200,1.24,-9.31,-0.77,-0.06,-0.07,-0.19
210,1.46,-9.16,-0.88,-0.07,-0.07,-0.21
220,1.72,-9.11,-1.1,-0.1,-0.05,-0.21
230,2.01,-9.1,-1.33,-0.12,-0.0,-0.18
240,2.26,-9.0,-1.5,-0.13,0.05,-0.14
250,2.38,-8.96,-1.65,-0.14,0.11,-0.07
260,2.53,-8.88,-1.83,-0.13,0.17,-0.0
270,2.72,-8.86,-1.92,-0.14,0.23,0.05
280,2.85,-8.93,-2.06,-0.16,0.29,0.09
290,3.11,-8.98,-2.24,-0.17,0.33,0.09
300,3.36,-8.89,-2.36,-0.17,0.35,0.06
310,3.63,-8.67,-2.52,-0.16,0.33,0.04
320,3.94,-8.3,-2.84,-0.13,0.31,0.03
330,4.37,-7.86,-3.18,-0.09,0.29,0.05
340,4.87,-7.38,-3.54,-0.03,0.32,0.12
350,5.54,-6.8,-4.21,0.02,0.4,0.26
360,6.32,-6.27,-4.82,0.12,0.6,0.5
370,6.85,-5.85,-5.11,0.26,0.83,0.87
380,7.62,-5.31,-5.57,0.47,1.03,1.34
390,7.94,-4.51,-5.71,0.77,1.25,1.95
400,7.69,-3.86,-5.0,1.17,1.34,2.79
410,7.14,-3.26,-3.82,1.61,1.18,3.82
420,6.49,-2.71,-2.8,2.07,0.78,4.9
430,5.48,-1.76,-2.09,2.52,0.25,6.04
440,3.42,-0.57,-0.93,3.0,-0.29,7.29
450,0.09,0.59,0.94,3.49,-0.87,8.63
460,-3.89,1.4,3.14,3.92,-1.47,8.73
470,-8.54,1.41,5.63,4.1,-1.98,8.73
480,-13.01,0.7,7.97,3.83,-2.27,8.73
490,-17.61,-0.57,8.81,3.14,-2.48,8.73
500,-19.19,-2.39,8.64,2.37,-2.87,8.68
510,-18.44,-3.72,8.54,1.85,-3.01,7.02
520,-16.85,-3.25,7.53,1.5,-2.57,5.53
530,-15.24,-2.07,6.27,1.22,-1.49,4.34
540,-14.79,-0.59,5.98,1.03,-0.1,3.51
550,-15.05,0.17,6.82,0.84,1.06,2.95
560,-15.47,0.07,7.98,0.71,1.63,2.47
570,-15.96,-0.23,8.92,0.59,1.61,1.99
580,-15.67,-0.7,9.1,0.48,1.15,1.51
590,-14.49,-1.16,8.56,0.34,0.58,1.04
600,-13.09,-1.53,7.69,0.18,0.1,0.68
610,-11.62,-1.84,6.67,0.05,-0.23,0.45
620,-10.38,-1.87,5.84,-0.04,-0.38,0.35
630,-9.59,-1.93,5.29,-0.1,-0.39,0.34
640,-9.11,-2.12,4.9,-0.16,-0.34,0.4
650,-8.84,-2.15,4.58,-0.22,-0.27,0.48
660,-8.79,-2.3,4.42,-0.28,-0.2,0.54
670,-8.91,-2.45,4.26,-0.33,-0.19,0.56
680,-8.92,-2.59,4.02,-0.35,-0.24,0.54
690,-8.93,-2.67,3.83,-0.36,-0.33,0.48
700,-8.97,-2.59,3.68,-0.34,-0.41,0.4
710,-8.82,-2.39,3.44,-0.33,-0.46,0.32
720,-8.65,-2.29,3.34,-0.3,-0.43,0.27
730,-8.52,-2.2,3.31,-0.27,-0.36,0.2
740,-8.5,-1.88,3.32,-0.25,-0.26,0.14
750,-8.51,-1.68,3.37,-0.24,-0.13,0.1
760,-8.54,-1.69,3.46,-0.24,0.0,0.07
770,-8.51,-1.81,3.54,-0.25,0.08,0.03
780,-8.49,-2.04,3.61,-0.25,0.09,-0.01
790,-8.38,-2.3,3.67,-0.23,0.05,-0.08
800,-8.24,-2.4,3.59,-0.22,-0.01,-0.16
810,-8.08,-2.22,3.42,-0.2,-0.05,-0.23
820,-7.93,-2.05,3.27,-0.16,-0.06,-0.25
830,-7.8,-1.97,3.27,-0.14,-0.03,-0.23
840,-7.76,-1.87,3.25,-0.15,0.03,-0.19
850,-7.75,-1.73,3.2,-0.17,0.11,-0.14
860,-7.79,-1.81,3.19,-0.2,0.18,-0.08
870,-7.83,-2.04,3.31,-0.22,0.21,-0.03
880,-7.89,-2.28,3.44,-0.24,0.2,-0.0
890,-7.99,-2.5,3.48,-0.24,0.13,-0.01
900,-7.99,-2.54,3.4,-0.22,0.04,-0.06
910,-7.98,-2.35,3.26,-0.21,-0.02,-0.1
920,-7.91,-2.23,3.08,-0.19,-0.02,-0.11
930,-7.84,-2.25,2.9,-0.17,0.02,-0.1
940,-7.85,-2.29,2.82,-0.16,0.06,-0.08
950,-7.86,-2.42,2.8,-0.15,0.08,-0.05
960,-7.88,-2.56,2.88,-0.14,0.09,-0.03
970,-7.87,-2.69,2.95,-0.12,0.07,-0.03
980,-7.85,-2.71,3.0,-0.1,0.05,-0.05
990,-7.83,-2.76,3.14,-0.07,0.02,-0.07
