timestamp,ax,ay,az,gx,gy,gz
0,0.88,-10.05,-2.0,-0.06,0.05,-0.16
10,1.0,-9.97,-2.02,-0.05,0.05,-0.16
20,1.05,-9.88,-2.07,-0.04,0.05,-0.15
30,1.1,-9.81,-2.03,-0.02,0.05,-0.14
40,1.15,-9.78,-2.01,0.0,0.05,-0.12
50,1.22,-9.75,-1.97,0.01,0.06,-0.11
60,1.27,-9.72,-1.92,0.0,0.07,-0.09
70,1.32,-9.68,-1.9,-0.02,0.08,-0.08
80,1.38,-9.66,-1.94,-0.03,0.08,-0.07
90,1.38,-9.65,-1.91,-0.05,0.07,-0.05
100,1.44,-9.62,-2.01,-0.07,0.07,-0.06
110,1.53,-9.62,-2.14,-0.08,0.06,-0.06
120,1.6,-9.63,-2.29,-0.08,0.06,-0.05
130,1.68,-9.63,-2.41,-0.06,0.07,-0.03
140,1.81,-9.65,-2.58,-0.04,0.09,0.01
150,1.95,-9.77,-2.78,-0.03,0.13,0.05
160,2.07,-9.89,-2.95,-0.03,0.18,0.09
170,2.1,-10.02,-2.99,-0.02,0.23,0.13
180,2.12,-10.14,-3.0,-0.01,0.28,0.16
190,2.07,-10.17,-2.97,-0.01,0.31,0.16
200,1.87,-10.19,-2.84,-0.01,0.31,0.12
210,1.81,-10.23,-2.74,-0.0,0.29,0.06
220,1.81,-10.24,-2.7,-0.0,0.26,-0.01
230,1.88,-10.18,-2.72,-0.02,0.24,-0.08
240,2.05,-10.02,-2.85,-0.04,0.25,-0.12
250,2.31,-9.8,-3.0,-0.08,0.27,-0.14
260,2.64,-9.54,-3.13,-0.12,0.31,-0.14
270,2.95,-9.33,-3.33,-0.15,0.35,-0.12
280,3.28,-9.17,-3.47,-0.14,0.39,-0.07
290,3.51,-9.23,-3.6,-0.11,0.43,0.03
300,3.62,-9.31,-3.69,-0.05,0.45,0.19
310,3.58,-9.41,-3.73,0.02,0.46,0.39
320,3.41,-9.35,-3.69,0.08,0.47,0.57
330,2.96,-9.28,-3.46,0.14,0.47,0.69
340,2.46,-9.19,-3.08,0.19,0.46,0.74
350,2.1,-9.19,-2.83,0.2,0.44,0.67
360,1.71,-9.42,-2.69,0.17,0.43,0.55
370,0.99,-9.9,-2.49,0.12,0.44,0.49
380,0.4,-10.25,-2.21,0.06,0.47,0.53
390,0.04,-10.45,-2.15,-0.0,0.51,0.55
