timestamp,ax,ay,az,gx,gy,gz
0,5.09,-2.93,6.45,-0.4,-0.12,0.14
10,5.0,-3.02,6.4,-0.4,-0.08,0.11
20,5.06,-3.14,6.43,-0.42,-0.03,0.11
30,5.17,-3.25,6.48,-0.46,0.03,0.15
40,5.25,-3.32,6.47,-0.49,0.08,0.22
50,5.31,-3.39,6.4,-0.51,0.08,0.31
60,5.36,-3.4,6.26,-0.5,0.04,0.37
70,5.31,-3.39,6.17,-0.48,-0.01,0.39
80,5.21,-3.38,6.13,-0.45,-0.04,0.39
90,5.09,-3.36,6.05,-0.43,-0.03,0.36
100,5.02,-3.37,6.04,-0.41,0.01,0.32
110,5.06,-3.44,6.05,-0.41,0.07,0.28
120,5.17,-3.51,6.02,-0.4,0.12,0.25
130,5.25,-3.57,5.96,-0.38,0.14,0.22
140,5.29,-3.62,6.02,-0.33,0.12,0.2
150,5.31,-3.67,6.07,-0.28,0.08,0.18
160,5.4,-3.68,6.2,-0.23,0.05,0.14
170,5.47,-3.74,6.27,-0.21,0.02,0.1
180,5.57,-3.83,6.42,-0.2,0.01,0.08
190,5.67,-4.0,6.61,-0.2,0.01,0.08
200,5.79,-4.13,6.63,-0.19,0.01,0.09
210,5.78,-4.32,6.72,-0.17,-0.02,0.13
220,5.76,-4.37,6.76,-0.14,-0.07,0.19
230,5.72,-4.42,6.69,-0.1,-0.13,0.22
240,5.68,-4.44,6.7,-0.08,-0.18,0.22
250,5.55,-4.48,6.71,-0.09,-0.19,0.2
260,5.45,-4.49,6.68,-0.12,-0.16,0.16
270,5.4,-4.47,6.74,-0.19,-0.1,0.13
280,5.49,-4.49,6.74,-0.26,-0.03,0.14
290,5.57,-4.52,6.72,-0.31,0.02,0.19
300,5.64,-4.53,6.71,-0.34,0.04,0.27
310,5.73,-4.56,6.66,-0.32,0.02,0.36
320,5.76,-4.63,6.56,-0.3,-0.03,0.43
330,5.76,-4.66,6.46,-0.27,-0.08,0.47
340,5.72,-4.75,6.38,-0.26,-0.11,0.46
350,5.64,-4.81,6.3,-0.29,-0.09,0.42
360,5.54,-4.89,6.35,-0.32,-0.06,0.38
370,5.45,-5.15,6.48,-0.37,-0.03,0.35
380,5.37,-5.43,6.58,-0.41,0.01,0.36
390,5.27,-5.57,6.73,-0.45,0.03,0.38
400,5.24,-5.67,6.78,-0.47,0.0,0.41
410,5.2,-5.7,6.81,-0.47,-0.05,0.43
420,5.22,-5.65,6.75,-0.47,-0.1,0.43
430,5.22,-5.64,6.7,-0.46,-0.14,0.41
440,5.2,-5.74,6.73,-0.47,-0.14,0.37
450,5.27,-5.82,6.68,-0.5,-0.1,0.32
460,5.33,-5.89,6.69,-0.52,-0.06,0.31
470,5.32,-5.94,6.79,-0.54,-0.04,0.34
480,5.36,-5.98,6.73,-0.51,-0.04,0.42
490,5.41,-6.09,6.75,-0.48,-0.05,0.51
500,5.55,-6.22,6.54,-0.47,-0.08,0.54
510,5.64,-6.22,6.37,-0.49,-0.1,0.51
520,5.5,-6.33,6.68,-0.53,-0.12,0.45
530,5.32,-6.65,7.37,-0.57,-0.15,0.39
540,5.43,-7.12,7.44,-0.58,-0.18,0.37
550,5.73,-7.63,7.22,-0.62,-0.17,0.41
560,6.02,-8.03,7.07,-0.68,-0.11,0.52
570,6.4,-8.72,7.14,-0.74,-0.03,0.67
580,6.83,-9.5,7.54,-0.78,0.03,0.78
590,7.11,-10.35,8.14,-0.81,0.03,0.79
600,7.28,-11.23,8.52,-0.86,-0.01,0.72
610,7.41,-11.75,8.68,-0.98,-0.07,0.62
620,7.45,-12.16,8.76,-1.14,-0.17,0.58
630,7.41,-12.43,9.18,-1.32,-0.22,0.66
640,7.35,-12.67,9.39,-1.51,-0.18,0.86
650,7.28,-12.92,9.47,-1.73,-0.05,1.17
660,7.21,-13.24,9.54,-1.92,0.13,1.49
670,7.5,-13.68,9.74,-2.1,0.26,1.71
680,7.73,-14.04,9.93,-2.29,0.25,1.78
690,7.83,-14.34,10.1,-2.45,0.07,1.68
700,7.58,-14.4,10.23,-2.61,-0.18,1.5
710,7.09,-14.03,10.05,-2.71,-0.4,1.34
720,6.48,-13.62,9.76,-2.74,-0.48,1.28
730,6.17,-13.32,9.67,-2.75,-0.47,1.3
740,6.02,-13.07,9.49,-2.8,-0.45,1.32
750,5.78,-12.66,9.29,-2.92,-0.46,1.35
760,5.27,-12.08,9.11,-3.02,-0.45,1.43
770,4.96,-11.44,8.83,-3.06,-0.44,1.55
780,4.88,-10.8,8.57,-3.05,-0.48,1.58
790,4.71,-10.15,8.4,-3.03,-0.6,1.51
800,4.32,-9.51,8.02,-3.05,-0.74,1.34
810,3.64,-8.71,7.32,-3.12,-0.73,1.2
820,3.17,-8.12,6.83,-3.19,-0.58,1.16
830,3.07,-7.68,6.6,-3.24,-0.39,1.22
840,3.27,-7.32,6.11,-3.24,-0.28,1.3
850,3.4,-7.19,5.73,-3.21,-0.3,1.37
860,3.55,-7.02,5.38,-3.13,-0.46,1.34
870,3.29,-6.59,4.91,-2.96,-0.64,1.26
880,2.99,-6.22,4.55,-2.72,-0.79,1.23
890,3.02,-6.0,4.4,-2.56,-0.94,1.2
900,2.84,-5.54,4.53,-2.57,-1.03,1.1
910,2.48,-4.91,4.75,-2.67,-0.97,0.95
920,2.46,-4.38,5.13,-2.81,-0.83,0.83
930,2.67,-3.69,5.08,-2.9,-0.68,0.78
940,2.89,-2.91,4.39,-2.88,-0.58,0.85
950,3.13,-2.2,3.12,-2.84,-0.54,1.03
960,3.0,-1.34,1.88,-2.75,-0.54,1.28
970,2.6,-0.4,0.22,-2.59,-0.56,1.53
980,2.08,0.14,-1.23,-2.33,-0.63,1.73
990,1.6,0.26,-2.52,-2.01,-0.81,1.74
