timestamp,ax,ay,az,gx,gy,gz
0,2.22,-3.29,7.35,-0.15,-0.88,0.43
10,2.44,-3.41,7.02,-0.13,-0.64,0.52
20,2.33,-3.39,7.09,-0.01,-0.48,0.55
30,1.94,-3.24,7.23,0.16,-0.45,0.54
40,1.8,-3.23,7.46,0.32,-0.51,0.46
50,1.74,-3.5,7.72,0.44,-0.6,0.32
60,1.66,-3.79,7.97,0.48,-0.69,0.14
70,1.63,-3.97,8.11,0.43,-0.78,-0.05
80,1.44,-3.9,8.11,0.33,-0.82,-0.2
90,0.75,-3.58,7.97,0.22,-0.68,-0.24
100,0.26,-3.53,7.93,0.14,-0.34,-0.18
110,0.5,-3.81,7.71,0.11,0.01,-0.09
120,1.05,-3.87,7.54,0.14,0.19,-0.09
130,1.82,-4.04,7.35,0.21,0.17,-0.2
140,2.46,-3.97,7.04,0.31,0.0,-0.41
150,2.64,-3.51,7.19,0.43,-0.24,-0.61
160,2.73,-3.45,7.89,0.53,-0.47,-0.71
170,2.7,-3.38,8.4,0.58,-0.64,-0.67
180,2.94,-3.35,8.48,0.56,-0.72,-0.53
190,3.02,-3.36,8.37,0.53,-0.69,-0.31
200,3.0,-3.4,8.29,0.56,-0.56,-0.05
210,3.22,-3.72,8.18,0.71,-0.36,0.17
220,3.51,-3.98,8.22,0.91,-0.2,0.32
230,3.68,-4.42,8.99,1.08,-0.13,0.39
240,3.79,-5.25,10.39,1.08,-0.17,0.45
250,4.05,-6.4,11.84,0.85,-0.23,0.5
260,4.18,-7.59,13.0,0.43,-0.27,0.55
270,4.26,-8.71,13.69,-0.04,-0.34,0.58
280,4.4,-9.62,14.01,-0.46,-0.42,0.58
290,4.43,-10.34,14.18,-0.75,-0.49,0.55
300,4.43,-10.8,14.48,-0.94,-0.56,0.49
310,4.5,-11.15,14.93,-1.1,-0.59,0.4
320,4.68,-11.55,15.44,-1.29,-0.55,0.29
330,4.92,-11.82,16.18,-1.53,-0.44,0.17
340,5.23,-11.75,16.94,-1.84,-0.28,0.1
350,5.55,-11.54,17.65,-2.18,-0.1,0.12
360,5.71,-10.9,18.09,-2.52,-0.01,0.22
370,5.81,-10.28,18.1,-2.79,-0.01,0.35
380,5.91,-9.67,17.89,-2.97,-0.1,0.48
390,5.97,-8.92,17.42,-3.08,-0.29,0.58
400,5.93,-8.15,16.89,-3.13,-0.52,0.65
410,5.9,-7.49,16.77,-3.14,-0.73,0.69
420,5.94,-7.07,16.96,-3.14,-0.88,0.73
430,6.06,-6.79,17.24,-3.17,-0.91,0.78
440,6.18,-6.4,17.55,-3.24,-0.8,0.89
450,6.34,-5.86,17.87,-3.36,-0.66,1.05
460,6.37,-5.25,17.79,-3.51,-0.56,1.21
470,6.07,-4.42,17.25,-3.63,-0.48,1.31
480,5.97,-3.64,16.65,-3.71,-0.44,1.35
490,6.07,-3.33,16.89,-3.73,-0.45,1.28
500,6.09,-3.09,17.27,-3.85,-0.56,1.14
510,6.01,-2.66,17.17,-4.07,-0.69,1.01
