timestamp,ax,ay,az,gx,gy,gz
0,3.61,-0.62,7.94,-0.05,0.26,0.21
10,3.57,-0.59,7.81,-0.03,0.3,0.24
20,3.59,-0.57,7.69,0.01,0.34,0.26
30,3.65,-0.58,7.69,0.08,0.36,0.26
40,3.72,-0.64,7.85,0.15,0.36,0.23
50,3.8,-0.71,8.08,0.23,0.35,0.19
60,3.82,-0.79,8.27,0.28,0.32,0.15
70,3.88,-0.87,8.26,0.31,0.29,0.13
80,3.99,-0.88,8.18,0.3,0.27,0.13
90,4.07,-0.93,8.05,0.29,0.27,0.15
100,4.12,-1.0,7.87,0.28,0.28,0.2
110,4.18,-1.05,7.81,0.31,0.29,0.24
120,4.25,-1.12,7.94,0.36,0.3,0.27
130,4.38,-1.25,8.26,0.43,0.33,0.27
140,4.55,-1.4,8.53,0.49,0.35,0.26
150,4.73,-1.53,8.67,0.53,0.38,0.28
160,4.92,-1.61,8.66,0.54,0.42,0.33
170,5.14,-1.74,8.76,0.55,0.43,0.4
180,5.37,-1.88,8.98,0.59,0.4,0.45
190,5.59,-2.06,9.28,0.63,0.32,0.47
200,5.78,-2.26,9.79,0.68,0.21,0.43
210,5.95,-2.41,10.29,0.68,0.12,0.34
220,6.11,-2.68,10.69,0.63,0.06,0.24
230,6.27,-3.16,11.13,0.52,0.05,0.18
240,6.45,-3.56,11.62,0.38,0.1,0.19
250,6.72,-3.84,12.05,0.22,0.17,0.28
260,7.04,-3.97,12.49,0.09,0.24,0.43
270,7.48,-4.02,13.08,-0.02,0.26,0.57
280,7.96,-4.33,13.9,-0.08,0.14,0.61
290,8.28,-4.89,15.01,-0.14,-0.17,0.52
300,8.29,-5.45,16.05,-0.25,-0.64,0.32
310,8.1,-5.88,17.12,-0.44,-1.12,0.1
320,7.86,-5.98,18.08,-0.75,-1.39,0.03
330,7.6,-5.71,18.68,-1.18,-1.39,0.17
340,7.42,-5.17,18.93,-1.66,-1.18,0.52
350,7.24,-4.47,18.93,-2.15,-0.88,0.96
360,7.21,-3.94,18.71,-2.55,-0.58,1.37
370,7.3,-3.47,18.56,-2.82,-0.36,1.67
380,7.31,-3.09,18.63,-2.96,-0.29,1.82
390,7.21,-2.7,18.82,-3.02,-0.41,1.84
400,7.05,-2.39,19.0,-3.05,-0.62,1.78
410,6.69,-1.91,19.1,-3.12,-0.84,1.68
420,6.25,-1.54,19.24,-3.24,-1.0,1.58
430,5.73,-1.15,18.99,-3.41,-1.11,1.54
440,5.28,-0.73,18.51,-3.61,-1.12,1.56
450,4.87,-0.38,18.03,-3.81,-1.06,1.64
460,4.48,-0.04,17.36,-4.01,-0.95,1.76
470,4.21,0.38,16.61,-4.19,-0.83,1.89
480,3.96,0.81,15.92,-4.33,-0.73,2.01
490,3.83,1.14,15.53,-4.43,-0.66,2.08
500,3.74,1.31,15.48,-4.49,-0.62,2.08
510,3.63,1.35,15.34,-4.53,-0.63,2.03
520,3.56,1.34,14.99,-4.56,-0.66,1.95
530,3.45,1.31,14.28,-4.63,-0.69,1.88
