timestamp,ax,ay,az,gx,gy,gz
0,3.23,2.36,8.68,-0.14,0.12,0.13
10,3.18,2.4,8.49,-0.13,0.12,0.12
20,3.23,2.38,8.33,-0.12,0.07,0.12
30,3.25,2.42,8.18,-0.12,0.01,0.11
40,3.19,2.43,8.04,-0.11,-0.04,0.1
50,3.17,2.44,7.96,-0.11,-0.06,0.09
60,3.16,2.36,7.85,-0.1,-0.06,0.07
70,3.14,2.34,7.77,-0.11,-0.07,0.06
80,3.15,2.43,7.68,-0.12,-0.06,0.04
90,3.07,2.63,7.51,-0.12,-0.02,0.01
100,2.96,2.7,7.31,-0.12,0.07,-0.01
110,2.95,2.63,7.24,-0.11,0.15,-0.01
120,3.03,2.56,7.19,-0.11,0.16,-0.01
130,3.11,2.67,7.24,-0.1,0.1,-0.03
140,3.11,2.86,7.23,-0.08,-0.01,-0.08
150,3.02,3.03,7.18,-0.03,-0.06,-0.13
160,2.9,3.02,7.18,0.05,-0.03,-0.17
170,2.83,2.9,7.13,0.14,0.04,-0.17
180,2.83,2.84,7.07,0.21,0.11,-0.15
190,2.8,2.94,7.01,0.23,0.15,-0.13
200,2.77,3.03,7.13,0.23,0.11,-0.1
210,2.7,3.04,7.32,0.23,0.09,-0.09
220,2.87,3.06,7.37,0.24,0.07,-0.1
230,2.95,3.12,7.37,0.27,0.11,-0.11
240,2.97,3.1,7.53,0.32,0.11,-0.12
250,2.98,3.0,7.67,0.35,0.15,-0.1
260,3.15,3.15,7.5,0.36,0.17,-0.07
270,3.05,3.28,7.28,0.36,0.16,-0.05
280,2.91,3.18,7.16,0.37,0.06,-0.04
290,2.79,2.99,7.2,0.44,-0.03,-0.05
300,2.6,2.91,7.19,0.53,-0.01,-0.08
310,2.45,2.96,7.22,0.6,0.11,-0.12
320,2.52,2.9,7.32,0.61,0.22,-0.17
330,2.68,2.65,7.48,0.58,0.27,-0.22
340,2.72,2.38,7.62,0.54,0.21,-0.27
350,2.65,2.38,7.66,0.52,0.1,-0.34
360,2.55,2.37,7.64,0.53,0.05,-0.42
370,2.61,2.08,7.89,0.58,0.04,-0.5
380,2.77,1.64,8.39,0.67,0.02,-0.57
390,2.98,1.12,9.17,0.78,-0.06,-0.62
400,3.14,0.65,10.19,0.92,-0.21,-0.65
410,3.45,0.38,11.54,1.06,-0.4,-0.67
420,3.99,0.29,13.47,1.12,-0.55,-0.72
430,5.0,0.37,15.82,1.05,-0.61,-0.83
440,6.19,0.37,18.65,0.78,-0.59,-1.0
450,7.65,0.43,21.93,0.31,-0.52,-1.15
460,9.68,0.84,25.34,-0.35,-0.37,-1.18
470,10.65,0.91,28.27,-1.16,-0.39,-0.98
480,11.62,1.25,30.06,-1.99,-0.69,-0.54
490,11.98,1.75,31.18,-2.78,-1.27,-0.01
500,12.1,2.37,31.75,-3.47,-1.92,0.48
510,11.64,2.95,32.13,-4.08,-2.42,0.8
520,11.03,3.78,32.17,-4.71,-2.66,0.95
530,10.57,4.74,31.58,-5.53,-2.59,0.99
540,10.66,5.89,30.58,-6.58,-2.23,1.03
550,10.6,7.04,29.55,-7.75,-1.71,1.28
560,9.97,7.93,28.36,-8.73,-1.24,1.86
570,9.46,8.39,26.67,-8.73,-0.93,2.71
580,9.24,8.72,24.71,-8.73,-0.72,3.61
590,8.83,9.07,23.08,-8.73,-0.52,4.36
600,8.39,9.33,21.93,-8.73,-0.31,4.82
610,7.97,9.67,21.09,-8.73,-0.11,4.98
620,7.31,9.67,20.14,-8.73,0.09,4.91
630,6.85,9.54,18.74,-8.73,0.27,4.77
640,6.45,9.46,16.77,-8.73,0.45,4.61
650,6.13,9.47,14.74,-8.73,0.47,4.42
660,5.76,9.4,12.96,-8.73,0.19,4.13
670,5.51,9.36,11.26,-8.73,-0.37,3.68
680,5.16,9.02,10.25,-8.73,-0.97,3.11
690,4.37,8.69,9.6,-8.73,-1.51,2.48
700,3.41,8.76,8.47,-8.53,-2.01,1.9
710,2.26,9.15,6.85,-8.1,-2.34,1.47
720,0.72,10.07,5.16,-7.66,-2.25,1.3
