timestamp,ax,ay,az,gx,gy,gz
0,4.18,-0.67,8.13,-0.05,-0.04,-0.15
10,4.19,-0.66,8.14,-0.05,-0.04,-0.14
20,4.23,-0.71,8.12,-0.03,-0.03,-0.12
30,4.21,-0.78,8.17,-0.01,-0.01,-0.11
40,4.24,-0.83,8.17,0.0,0.0,-0.09
50,4.24,-0.87,8.15,0.01,0.03,-0.06
60,4.23,-0.83,8.08,-0.0,0.05,-0.02
70,4.19,-0.78,8.06,-0.03,0.06,0.01
80,4.17,-0.78,8.04,-0.05,0.07,0.04
90,4.2,-0.85,8.03,-0.07,0.08,0.05
100,4.2,-0.93,8.13,-0.08,0.09,0.06
110,4.17,-0.98,8.2,-0.09,0.08,0.06
120,4.05,-0.99,8.31,-0.1,0.05,0.07
130,3.86,-1.05,8.3,-0.14,-0.02,0.09
140,3.62,-1.25,8.25,-0.19,-0.19,0.11
150,3.54,-1.55,8.38,-0.28,-0.44,0.14
160,3.74,-1.75,8.84,-0.38,-0.61,0.18
170,4.13,-1.85,9.5,-0.51,-0.66,0.2
180,5.02,-1.99,10.26,-0.62,-0.44,0.21
190,5.2,-2.27,10.59,-0.71,0.04,0.23
200,4.54,-3.1,10.73,-0.78,0.39,0.28
210,4.28,-3.62,10.78,-0.79,0.42,0.34
220,4.05,-4.07,11.67,-0.71,0.43,0.41
230,4.02,-4.5,11.81,-0.59,0.43,0.5
240,4.14,-4.83,11.99,-0.5,0.51,0.57
250,4.02,-5.13,12.27,-0.44,0.5,0.61
260,3.93,-5.39,12.22,-0.45,0.4,0.62
270,4.07,-5.46,12.28,-0.51,0.32,0.62
280,4.08,-5.62,12.36,-0.61,0.36,0.63
290,4.19,-5.73,12.5,-0.72,0.48,0.69
300,4.02,-5.68,12.74,-0.8,0.66,0.79
310,3.77,-5.62,12.99,-0.89,0.76,0.91
320,3.72,-5.68,13.2,-1.0,0.69,0.99
330,3.89,-5.82,13.42,-1.19,0.51,0.99
340,4.2,-5.86,13.72,-1.41,0.35,0.89
350,4.65,-5.96,13.98,-1.66,0.35,0.76
360,5.14,-6.13,14.29,-1.86,0.51,0.64
370,5.39,-6.27,14.21,-2.0,0.73,0.56
380,5.5,-6.29,14.16,-2.05,0.85,0.51
390,5.48,-6.21,14.05,-2.03,0.86,0.54
400,5.38,-6.05,14.16,-2.04,0.79,0.64
410,5.37,-5.95,14.3,-2.12,0.64,0.73
420,5.45,-5.84,14.4,-2.29,0.52,0.77
430,5.74,-5.62,14.36,-2.55,0.48,0.78
440,6.36,-5.52,14.44,-2.81,0.62,0.76
450,6.73,-5.47,14.44,-3.03,0.83,0.73
460,6.93,-5.24,14.13,-3.18,0.95,0.72
470,6.91,-4.88,13.51,-3.26,0.86,0.74
480,6.62,-4.58,13.13,-3.25,0.72,0.81
490,6.11,-4.41,12.72,-3.19,0.62,0.91
500,5.8,-4.46,12.51,-3.14,0.65,1.02
510,5.63,-4.74,12.9,-3.12,0.81,1.12
520,5.97,-5.25,13.74,-3.16,1.13,1.17
530,6.4,-5.6,14.3,-3.23,1.49,1.16
540,6.5,-5.27,13.99,-3.33,1.7,1.13
550,6.5,-4.51,13.08,-3.47,1.61,1.12
560,6.25,-3.74,11.89,-3.63,1.16,1.09
570,5.99,-3.32,10.72,-3.83,0.55,1.04
580,5.44,-3.28,9.7,-4.03,0.23,1.02
590,4.86,-3.31,9.43,-4.21,0.23,1.07
600,4.43,-3.47,9.75,-4.25,0.44,1.19
610,4.33,-3.43,9.95,-4.11,0.67,1.31
620,4.41,-3.12,9.64,-3.89,0.9,1.37
630,4.22,-2.61,8.69,-3.68,1.08,1.37
640,3.77,-1.97,7.38,-3.57,1.11,1.31
650,3.24,-1.55,6.19,-3.57,0.94,1.18
660,2.82,-1.37,5.84,-3.59,0.61,0.99
670,2.7,-1.32,5.56,-3.58,0.37,0.76
680,2.45,-1.23,5.41,-3.53,0.23,0.52
690,2.24,-1.15,5.45,-3.44,0.2,0.29
700,2.15,-1.03,5.46,-3.33,0.27,0.1
710,1.95,-0.67,4.9,-3.24,0.39,-0.02
720,1.44,-0.36,3.82,-3.18,0.48,-0.07
730,0.82,-0.41,2.24,-3.19,0.51,-0.04
740,0.51,-0.14,0.1,-3.29,0.42,0.07
750,0.1,0.31,-1.89,-3.48,0.28,0.24
760,-0.67,0.45,-3.46,-3.64,0.13,0.45
770,-1.29,0.29,-5.0,-3.72,-0.08,0.71
780,-1.71,0.36,-6.44,-3.72,-0.3,0.97
790,-2.23,0.52,-7.79,-3.66,-0.51,1.2
800,-2.55,0.72,-8.92,-3.54,-0.67,1.36
810,-2.93,0.85,-9.87,-3.36,-0.76,1.4
820,-3.31,0.68,-10.41,-3.11,-0.78,1.3
830,-3.64,0.44,-11.11,-2.77,-0.73,1.07
840,-4.12,-0.22,-11.15,-2.36,-0.62,0.76
850,-4.19,-0.85,-10.44,-1.83,-0.39,0.46
860,-4.39,-1.42,-10.07,-1.26,-0.08,0.22
870,-3.96,-1.61,-9.94,-0.72,0.06,0.02
880,-3.77,-2.41,-9.17,-0.25,-0.15,-0.17
890,-3.53,-3.5,-7.94,0.18,-0.47,-0.36
900,-3.39,-4.66,-6.87,0.55,-0.69,-0.52
910,-3.3,-5.04,-6.0,0.81,-0.79,-0.64
920,-3.37,-6.17,-5.08,0.98,-0.85,-0.68
930,-3.44,-7.3,-4.36,1.09,-0.81,-0.68
940,-3.53,-8.08,-4.17,1.12,-0.74,-0.66
950,-3.63,-8.41,-4.12,1.11,-0.64,-0.65
960,-3.7,-8.47,-4.07,1.07,-0.61,-0.66
970,-3.55,-8.62,-4.0,1.0,-0.69,-0.69
980,-3.31,-8.9,-3.99,0.9,-0.81,-0.73
990,-3.21,-9.49,-3.68,0.79,-0.95,-0.77
