timestamp,x,y,z
0,3.9,-1.24,8.46
10,3.87,-1.3,8.44
20,3.79,-1.27,8.35
30,3.7,-1.19,8.35
40,3.6,-1.11,8.21
50,3.54,-1.08,8.16
60,3.53,-1.07,8.17
70,3.51,-1.13,8.14
80,3.6,-1.2,8.15
90,3.68,-1.22,8.13
100,3.79,-1.27,8.12
110,3.85,-1.35,8.16
120,3.87,-1.41,8.19
130,3.85,-1.42,8.19
140,3.79,-1.45,8.21
150,3.76,-1.41,8.15
160,3.74,-1.38,8.09
170,3.68,-1.35,8.0
180,3.66,-1.41,7.91
190,3.66,-1.49,7.96
200,3.7,-1.58,8.13
210,3.81,-1.73,8.39
220,3.81,-1.91,8.58
230,3.79,-1.99,8.55
240,3.75,-1.92,8.45
250,3.68,-1.79,8.34
260,3.6,-1.67,8.18
270,3.53,-1.58,8.01
280,3.49,-1.51,7.99
290,3.53,-1.51,8.12
300,3.6,-1.56,8.2
310,3.63,-1.66,8.21
320,3.72,-1.63,8.14
330,3.65,-1.61,7.96
340,3.68,-1.62,7.79
350,3.74,-1.58,7.74
360,3.83,-1.71,7.94
370,3.91,-1.91,8.23
380,4.16,-2.12,8.72
390,4.21,-2.39,9.14
400,4.01,-2.49,9.11
410,3.74,-2.28,8.6
420,3.36,-1.99,7.98
430,3.18,-1.74,7.56
440,3.04,-1.66,7.37
450,3.02,-1.88,7.24
460,3.08,-2.07,7.22
470,3.17,-2.34,7.48
480,3.14,-2.58,7.95
490,3.06,-2.87,8.66
500,2.88,-3.47,9.25
510,2.61,-4.12,9.54
520,2.49,-4.78,9.56
530,2.6,-5.58,9.7
540,2.91,-6.33,10.14
550,3.26,-7.24,10.29
560,3.59,-8.38,10.37
570,3.83,-9.83,11.18
580,3.9,-11.53,12.7
590,3.86,-13.18,14.65
600,3.66,-14.45,16.18
610,3.32,-14.96,17.0
620,2.84,-15.13,17.16
630,2.63,-15.13,17.17
640,3.02,-14.88,17.22
650,3.84,-14.82,17.56
660,4.56,-14.73,17.81
670,5.27,-14.64,18.01
680,5.85,-14.46,18.69
690,6.27,-14.19,19.31
700,6.67,-13.83,19.7
710,6.98,-13.13,19.85
720,7.14,-11.91,19.73
730,7.22,-10.44,18.97
740,7.26,-8.74,17.86
750,7.28,-7.16,16.75
760,7.35,-6.06,15.88
770,7.43,-5.26,15.27
780,7.47,-4.77,14.96
790,7.49,-4.34,14.86
800,7.3,-3.75,14.64
810,7.04,-3.1,13.89
820,7.04,-2.63,13.23
830,7.13,-2.69,13.26
840,6.94,-2.53,12.84
850,6.99,-2.37,12.16
860,6.75,-1.92,11.53
870,6.32,-1.06,10.43
880,5.96,-0.28,9.09
890,5.67,0.54,7.78
900,5.77,0.76,7.33
910,5.84,0.38,7.61
920,5.97,-0.06,8.25
930,5.98,-0.61,8.54
940,5.31,-0.31,7.92
950,4.71,0.4,6.75
960,4.01,1.14,5.25
970,3.67,1.89,3.63
980,3.71,2.02,2.5
990,3.98,1.72,1.87
1000,4.22,1.12,1.52
