timestamp,x,y,z
0,3.04,-3.15,7.66
10,2.93,-3.06,7.55
20,2.86,-3.09,7.68
30,2.86,-3.2,7.8
40,2.9,-3.32,7.93
50,2.97,-3.45,8.11
60,3.06,-3.52,8.3
70,2.98,-3.54,8.26
80,2.98,-3.39,8.16
90,2.98,-3.28,7.94
100,3.01,-3.29,7.9
110,3.1,-3.39,7.87
120,3.08,-3.4,7.81
130,3.12,-3.39,7.71
140,3.05,-3.39,7.65
150,3.0,-3.39,7.69
160,2.99,-3.47,7.78
170,2.96,-3.4,8.13
180,2.92,-3.28,8.61
190,3.07,-3.29,8.45
200,3.22,-3.03,8.22
210,3.61,-3.29,8.11
220,4.41,-4.06,8.84
230,3.58,-2.96,8.14
240,2.62,-3.1,7.43
250,2.17,-3.52,7.48
260,2.38,-4.11,8.05
270,2.83,-3.96,8.23
280,2.88,-3.72,7.92
290,2.89,-3.49,7.65
300,2.95,-3.42,7.57
310,3.07,-3.22,7.46
320,3.02,-3.27,7.18
330,3.2,-2.55,7.42
340,3.42,-3.44,8.07
350,3.16,-4.8,7.52
360,2.73,-4.43,6.91
370,3.01,-3.23,6.78
380,3.41,-2.89,7.05
390,3.23,-3.49,7.2
400,3.15,-3.85,7.34
410,3.21,-4.04,7.63
420,3.3,-4.32,7.52
430,3.06,-4.59,7.32
440,2.86,-4.93,7.43
450,2.98,-5.35,7.52
460,3.39,-5.37,7.87
470,4.27,-4.93,8.75
480,4.3,-4.44,8.94
490,3.88,-4.56,8.49
500,3.18,-4.5,7.55
510,2.67,-4.74,6.79
520,2.59,-5.21,7.01
530,2.82,-5.19,7.66
540,2.77,-4.7,8.54
550,2.51,-4.73,9.12
560,2.12,-5.56,9.25
570,2.04,-6.44,9.0
580,2.3,-7.02,9.23
590,2.62,-7.66,9.6
600,2.98,-8.33,10.06
610,3.36,-8.87,10.77
620,3.62,-9.52,11.68
630,3.72,-10.19,12.27
640,3.97,-10.68,12.77
650,4.14,-11.25,13.1
660,4.55,-11.67,13.33
670,4.77,-11.85,13.14
680,4.53,-11.82,12.7
690,4.24,-11.76,13.2
700,3.96,-11.88,14.13
710,3.98,-12.25,14.77
720,4.2,-12.17,14.78
730,4.42,-11.77,14.22
740,4.48,-11.16,13.69
750,4.19,-10.73,13.17
760,3.8,-10.58,12.77
770,3.61,-10.41,12.47
780,3.85,-10.71,12.79
790,4.31,-11.17,13.05
800,4.64,-11.41,13.12
810,4.54,-11.22,13.06
820,4.09,-10.47,12.91
830,3.64,-9.8,12.71
840,3.34,-9.32,12.75
850,3.13,-8.56,13.01
860,2.67,-7.6,12.8
870,1.93,-6.13,12.15
880,1.16,-4.92,11.31
890,1.23,-4.22,10.94
900,1.59,-3.35,10.09
910,1.64,-2.63,9.16
920,1.54,-1.71,7.92
930,1.18,-0.81,6.56
940,0.67,0.07,5.26
950,0.23,0.77,4.17
960,-0.12,0.71,3.86
970,-0.2,0.15,3.94
980,-0.04,-0.29,4.13
990,0.29,-0.98,4.48
1000,0.6,-1.16,3.99
