timestamp,x,y,z
0,4.85,0.46,8.15
10,4.87,0.43,8.16
20,4.88,0.39,8.27
30,4.9,0.23,8.46
40,4.79,0.04,8.54
50,4.7,-0.03,8.51
60,4.6,-0.02,8.38
70,4.5,0.11,8.22
80,4.38,0.27,8.02
90,4.24,0.47,7.9
100,4.23,0.57,7.83
110,4.2,0.56,7.74
120,4.29,0.46,7.53
130,4.36,0.3,7.41
140,4.4,0.18,7.45
150,4.36,0.15,7.61
160,4.27,0.18,7.69
170,4.11,0.31,7.75
180,3.95,0.41,7.67
190,3.88,0.45,7.57
200,3.97,0.42,7.6
210,4.14,0.22,7.87
220,4.33,-0.28,8.36
230,4.45,-0.86,8.99
240,4.44,-1.32,9.73
250,4.33,-1.7,10.25
260,4.32,-1.96,10.49
270,4.48,-2.19,10.69
280,4.61,-2.64,10.92
290,4.93,-3.54,11.53
300,5.15,-4.84,12.6
310,5.42,-6.14,14.06
320,5.68,-7.18,15.56
330,5.73,-7.66,16.98
340,6.34,-7.66,17.74
350,6.98,-7.38,17.85
360,7.78,-6.86,17.22
370,8.7,-6.47,16.28
380,9.75,-6.3,15.77
390,10.6,-6.24,15.89
400,11.16,-6.14,16.34
410,11.54,-6.18,17.02
420,11.62,-5.92,17.32
430,11.57,-5.65,17.14
440,11.38,-5.13,16.72
450,11.08,-4.6,15.85
460,10.8,-4.16,14.82
470,10.51,-3.65,13.78
480,10.35,-3.24,12.92
490,10.26,-2.89,12.53
500,10.22,-2.67,12.11
510,10.32,-2.6,11.92
520,10.34,-2.49,11.6
530,10.32,-2.34,10.85
540,10.23,-1.96,9.76
550,10.25,-1.62,8.73
560,10.04,-1.39,7.73
570,10.27,-1.16,7.18
580,10.59,-0.74,7.34
590,10.78,-0.63,8.1
600,10.45,-0.62,8.59
610,9.96,-0.39,8.35
620,9.33,-0.05,7.61
630,8.82,0.5,6.94
640,8.65,0.86,6.78
650,8.64,0.94,7.12
660,8.66,0.63,7.23
670,8.38,0.54,7.21
680,8.2,0.51,6.8
690,7.56,0.47,6.44
700,6.82,0.72,5.6
710,5.97,1.02,4.29
720,5.13,1.38,2.96
730,4.66,1.78,1.94
740,3.98,2.23,1.3
750,3.44,2.29,0.69
760,2.8,2.06,-0.09
770,2.05,2.09,-1.03
780,1.16,1.83,-1.93
790,0.06,1.66,-2.86
800,-0.89,1.62,-3.98
810,-1.29,1.26,-5.07
820,-1.65,0.92,-5.95
830,-1.94,0.72,-6.79
840,-2.31,0.41,-7.18
850,-2.85,-0.37,-7.39
860,-3.42,-0.98,-7.98
870,-4.09,-1.27,-8.54
880,-4.44,-1.43,-9.24
890,-4.66,-1.41,-10.2
900,-4.71,-1.39,-11.37
910,-4.72,-1.4,-11.92
920,-4.57,-2.09,-12.47
930,-4.38,-2.45,-11.99
940,-4.24,-3.28,-11.39
950,-4.01,-4.11,-10.91
960,-3.54,-4.97,-10.49
970,-2.8,-5.77,-10.25
980,-1.94,-6.32,-9.99
990,-1.18,-6.61,-9.71
1000,-0.55,-6.81,-9.56
