timestamp,x,y,z
0,4.33,-3.27,7.11
10,4.25,-3.05,7.12
20,4.14,-2.94,7.13
30,4.09,-3.04,7.33
40,4.11,-3.18,7.5
50,4.2,-3.33,7.62
60,4.34,-3.45,7.57
70,4.47,-3.58,7.51
80,4.57,-3.57,7.43
90,4.69,-3.34,7.24
100,4.74,-3.06,7.1
110,4.7,-3.15,7.22
120,4.51,-3.42,7.56
130,4.42,-3.69,7.99
140,4.3,-4.08,8.25
150,4.19,-4.27,7.96
160,4.36,-4.16,7.77
170,4.69,-4.36,7.89
180,5.37,-5.07,8.3
190,6.42,-5.71,8.47
200,7.38,-6.86,8.36
210,8.33,-8.03,8.84
220,8.55,-8.11,9.67
230,7.82,-7.63,9.8
240,6.6,-7.28,9.55
250,5.74,-7.02,9.37
260,6.7,-7.13,9.19
270,7.92,-7.75,9.41
280,9.19,-9.19,10.51
290,10.59,-10.94,12.48
300,11.36,-12.56,14.69
310,11.75,-13.36,16.88
320,11.11,-13.54,18.63
330,9.61,-13.14,19.57
340,7.83,-12.57,19.8
350,6.44,-11.71,19.44
360,5.68,-10.41,18.9
370,5.36,-8.93,18.93
380,5.52,-8.19,19.76
390,6.83,-8.16,21.58
400,7.87,-8.38,22.87
410,8.19,-8.11,22.31
420,7.46,-7.26,21.64
430,6.1,-6.44,21.18
440,4.95,-5.16,20.74
450,4.19,-3.87,19.94
460,3.78,-3.09,19.14
470,3.9,-1.73,17.71
480,3.75,-0.58,15.38
490,3.57,0.45,13.23
500,3.58,1.59,11.67
510,2.94,2.62,9.65
520,2.17,3.67,8.13
530,1.17,4.28,7.04
540,-0.05,4.2,6.13
550,0.15,4.52,6.11
560,0.66,4.72,5.38
570,0.75,4.22,4.21
580,1.03,3.56,3.32
590,0.92,3.84,2.28
600,0.42,3.91,2.27
610,-0.4,4.24,1.84
620,-1.26,5.18,0.72
630,-1.88,5.94,-0.56
640,-2.39,6.77,-2.6
650,-2.86,7.07,-4.78
660,-3.1,7.1,-6.32
670,-3.6,6.52,-8.6
680,-3.61,6.39,-9.15
690,-3.75,5.83,-9.11
700,-3.61,4.82,-9.09
710,-3.83,3.86,-9.33
720,-3.72,3.2,-9.6
730,-4.07,2.39,-9.76
740,-4.09,1.75,-10.01
750,-4.21,0.79,-10.41
760,-4.23,-0.06,-10.43
770,-4.15,-0.8,-10.11
780,-4.06,-1.66,-9.5
790,-3.7,-2.77,-8.6
800,-3.0,-4.03,-7.91
810,-2.35,-5.02,-7.56
820,-2.22,-5.66,-7.18
830,-1.59,-6.63,-6.68
840,-1.61,-7.35,-6.3
850,-1.69,-7.68,-6.46
860,-1.59,-8.04,-6.51
870,-1.73,-8.33,-6.43
880,-1.68,-8.6,-6.16
890,-1.48,-8.58,-6.1
900,-1.3,-8.77,-6.15
910,-1.21,-9.0,-6.05
920,-1.23,-8.85,-6.19
930,-1.56,-8.57,-6.54
940,-1.78,-7.81,-6.4
950,-2.08,-7.34,-6.28
960,-2.18,-7.19,-6.28
970,-2.04,-6.72,-6.22
980,-1.89,-6.44,-6.23
990,-1.8,-6.12,-6.25
1000,-1.86,-5.93,-6.25
