timestamp,ax,ay,az,gx,gy,gz
0,1.11,-10.77,2.59,-0.06,-0.03,-0.02
10,0.92,-11.41,2.6,-0.08,-0.08,-0.01
20,0.79,-12.1,2.55,-0.12,-0.12,-0.0
30,0.84,-12.82,2.46,-0.19,-0.14,-0.01
40,0.86,-13.51,2.49,-0.29,-0.12,-0.01
50,0.91,-14.09,2.59,-0.39,-0.11,0.01
60,1.07,-14.53,2.65,-0.49,-0.13,0.05
70,1.26,-14.88,2.72,-0.56,-0.17,0.08
80,1.37,-15.15,2.89,-0.63,-0.24,0.11
90,1.5,-15.17,2.93,-0.71,-0.33,0.09
100,1.68,-15.01,2.71,-0.8,-0.44,0.02
110,1.85,-14.65,2.35,-0.9,-0.53,-0.06
120,2.0,-14.23,2.09,-0.98,-0.55,-0.08
130,2.06,-13.85,1.88,-1.03,-0.5,-0.02
140,2.11,-13.52,1.69,-1.08,-0.39,0.11
150,2.1,-13.07,1.48,-1.19,-0.29,0.26
160,2.06,-12.6,1.28,-1.35,-0.23,0.41
170,1.96,-12.02,1.16,-1.56,-0.22,0.54
180,1.83,-11.49,1.2,-1.78,-0.26,0.64
190,1.81,-10.97,1.12,-1.97,-0.37,0.69
200,1.92,-10.51,0.93,-2.07,-0.5,0.7
210,2.03,-10.13,0.74,-2.07,-0.6,0.67
220,2.15,-9.72,0.51,-1.97,-0.65,0.65
230,2.4,-9.14,0.18,-1.78,-0.65,0.65
240,2.64,-8.54,-0.17,-1.55,-0.61,0.69
250,2.74,-8.05,-0.41,-1.34,-0.57,0.78
260,2.78,-7.68,-0.5,-1.18,-0.54,0.9
270,2.82,-7.25,-0.54,-1.07,-0.55,1.03
280,2.87,-6.85,-0.55,-0.99,-0.59,1.16
290,2.98,-6.52,-0.52,-0.9,-0.67,1.3
300,3.15,-6.2,-0.54,-0.78,-0.78,1.45
310,3.37,-5.73,-0.62,-0.62,-0.89,1.64
320,3.36,-5.28,-0.72,-0.45,-0.97,1.89
330,3.13,-5.37,-0.62,-0.34,-0.98,2.2
340,2.91,-5.38,-0.55,-0.36,-0.93,2.52
350,2.78,-5.26,-0.49,-0.46,-0.86,2.8
360,2.47,-5.26,-0.28,-0.58,-0.82,3.04
370,2.43,-5.02,-0.1,-0.63,-0.85,3.27
380,2.5,-4.92,0.12,-0.54,-0.95,3.5
390,2.65,-4.73,0.25,-0.33,-1.09,3.73
400,2.65,-4.46,0.41,-0.06,-1.27,3.93
410,2.43,-4.24,0.63,0.22,-1.47,4.11
420,1.94,-3.96,0.81,0.45,-1.67,4.28
430,1.24,-3.52,0.76,0.63,-1.86,4.47
440,0.55,-3.15,0.8,0.75,-2.03,4.69
450,-0.15,-2.72,0.79,0.83,-2.2,4.92
460,-0.74,-2.47,0.8,0.88,-2.34,5.12
470,-1.25,-2.32,0.88,0.95,-2.47,5.3
480,-1.59,-2.3,0.9,1.02,-2.55,5.43
490,-2.1,-2.07,1.14,1.08,-2.56,5.52
500,-2.5,-1.79,1.44,1.15,-2.51,5.57
510,-2.88,-1.59,1.74,1.21,-2.41,5.61
520,-3.57,-1.13,2.02,1.19,-2.3,5.69
530,-4.42,-0.7,2.42,1.1,-2.17,5.8
540,-5.54,-0.5,2.92,0.94,-2.06,5.91
550,-6.78,-0.33,3.41,0.7,-1.98,5.97
560,-8.3,-0.32,3.81,0.43,-1.94,5.93
570,-9.61,-1.0,3.83,0.17,-1.88,5.75
580,-10.56,-1.35,3.94,-0.03,-1.78,5.38
590,-11.3,-1.64,4.2,-0.04,-1.65,4.86
600,-11.74,-1.92,4.29,0.09,-1.45,4.26
610,-12.26,-1.88,4.52,0.24,-1.19,3.68
620,-12.92,-1.66,4.84,0.31,-0.95,3.16
630,-13.53,-1.32,4.96,0.23,-0.75,2.67
640,-13.75,-1.09,5.09,0.07,-0.61,2.18
650,-13.75,-0.92,5.26,-0.09,-0.55,1.7
660,-13.49,-0.73,5.32,-0.2,-0.56,1.27
670,-13.11,-0.58,5.26,-0.2,-0.57,0.88
680,-12.69,-0.4,4.99,-0.11,-0.56,0.56
690,-12.23,-0.28,4.72,-0.04,-0.49,0.35
700,-11.81,-0.14,4.56,-0.02,-0.36,0.22
710,-11.37,0.02,4.45,-0.06,-0.19,0.16
720,-10.98,0.21,4.49,-0.13,-0.06,0.14
730,-10.6,0.17,4.65,-0.22,0.0,0.14
740,-10.23,0.14,4.78,-0.27,-0.03,0.11
750,-9.85,0.1,4.73,-0.27,-0.13,0.06
760,-9.5,0.04,4.51,-0.24,-0.26,0.0
770,-9.25,0.02,4.19,-0.21,-0.37,-0.04
780,-9.07,0.06,3.85,-0.17,-0.41,-0.07
790,-8.98,-0.01,3.57,-0.15,-0.37,-0.08
800,-8.93,-0.13,3.39,-0.16,-0.27,-0.06
810,-8.77,-0.19,3.38,-0.2,-0.15,-0.04
820,-8.68,-0.28,3.52,-0.23,-0.05,-0.04
830,-8.59,-0.3,3.74,-0.26,0.0,-0.06
840,-8.44,-0.34,3.94,-0.25,0.01,-0.08
850,-8.37,-0.3,4.07,-0.24,-0.03,-0.1
860,-8.28,-0.24,4.02,-0.22,-0.09,-0.1
870,-8.26,-0.15,3.92,-0.21,-0.15,-0.08
880,-8.33,-0.06,3.83,-0.19,-0.18,-0.05
890,-8.43,-0.03,3.71,-0.15,-0.17,-0.02
900,-8.48,-0.3,3.51,-0.08,-0.12,0.02
910,-8.54,-0.56,3.32,-0.03,-0.03,0.03
920,-8.56,-0.7,3.23,-0.01,0.1,0.0
930,-8.56,-0.63,3.35,-0.02,0.23,-0.07
940,-8.51,-0.67,3.51,-0.05,0.31,-0.14
950,-8.43,-0.71,3.76,-0.09,0.34,-0.2
960,-8.35,-0.66,3.92,-0.13,0.31,-0.24
970,-8.35,-0.55,4.06,-0.16,0.25,-0.29
980,-8.36,-0.41,4.17,-0.16,0.15,-0.32
990,-8.32,-0.45,4.13,-0.13,0.05,-0.35
