timestamp,ax,ay,az,gx,gy,gz
0,0.14,-10.33,-0.27,-0.17,0.0,-0.0
10,0.11,-10.56,-0.31,-0.17,-0.0,0.0
20,0.11,-10.83,-0.36,-0.16,-0.01,-0.0
30,0.15,-11.03,-0.44,-0.16,-0.02,-0.02
40,0.2,-11.18,-0.57,-0.17,-0.03,-0.06
50,0.29,-11.37,-0.68,-0.19,-0.02,-0.08
60,0.33,-11.62,-0.68,-0.21,0.0,-0.08
70,0.44,-11.95,-0.74,-0.24,0.02,-0.08
80,0.55,-12.25,-0.79,-0.28,0.05,-0.1
90,0.58,-12.64,-0.73,-0.34,0.09,-0.11
100,0.62,-12.9,-0.71,-0.41,0.13,-0.12
110,0.65,-13.14,-0.56,-0.5,0.17,-0.12
120,0.59,-13.3,-0.43,-0.58,0.16,-0.11
130,0.5,-13.35,-0.37,-0.64,0.15,-0.1
140,0.49,-13.24,-0.36,-0.67,0.13,-0.12
150,0.49,-12.99,-0.42,-0.71,0.11,-0.17
160,0.53,-12.67,-0.5,-0.75,0.11,-0.24
170,0.51,-12.31,-0.57,-0.79,0.13,-0.32
180,0.54,-11.84,-0.77,-0.85,0.16,-0.38
190,0.52,-11.33,-0.97,-0.94,0.2,-0.39
200,0.58,-11.07,-1.19,-1.04,0.22,-0.34
210,0.53,-10.84,-1.29,-1.14,0.24,-0.27
220,0.52,-10.76,-1.33,-1.25,0.24,-0.19
230,0.57,-10.67,-1.36,-1.33,0.2,-0.12
240,0.59,-10.47,-1.37,-1.39,0.16,-0.06
250,0.62,-10.17,-1.43,-1.48,0.16,0.0
260,0.63,-9.74,-1.7,-1.64,0.25,0.14
270,0.53,-9.5,-1.82,-1.86,0.41,0.36
280,0.42,-9.56,-1.73,-2.11,0.53,0.6
290,0.57,-9.63,-1.67,-2.37,0.55,0.71
300,0.63,-9.44,-1.79,-2.59,0.48,0.7
310,0.56,-9.09,-2.09,-2.74,0.39,0.68
320,0.47,-8.65,-2.51,-2.81,0.3,0.71
330,0.32,-8.28,-3.0,-2.82,0.26,0.8
340,0.19,-8.07,-3.44,-2.81,0.29,0.94
350,0.05,-8.13,-3.69,-2.81,0.36,1.08
360,-0.08,-8.32,-3.83,-2.81,0.41,1.16
370,-0.32,-8.62,-3.92,-2.79,0.4,1.09
380,-0.47,-8.74,-4.19,-2.76,0.38,0.9
390,-0.57,-8.63,-4.55,-2.69,0.39,0.69
400,-0.47,-8.32,-4.86,-2.58,0.43,0.56
410,-0.13,-7.93,-5.15,-2.47,0.47,0.54
420,0.18,-7.44,-5.37,-2.42,0.53,0.66
430,0.41,-7.2,-5.4,-2.5,0.61,0.91
440,0.45,-7.14,-5.2,-2.63,0.63,1.21
450,0.08,-7.48,-4.94,-2.74,0.54,1.37
460,-0.43,-7.88,-4.99,-2.81,0.35,1.27
470,-0.93,-7.98,-5.44,-2.82,0.23,1.01
480,-1.34,-7.76,-5.99,-2.69,0.24,0.77
490,-1.43,-7.5,-6.3,-2.48,0.3,0.62
500,-1.12,-7.25,-6.41,-2.26,0.33,0.54
510,-0.79,-7.0,-6.35,-2.07,0.32,0.52
520,-0.55,-6.68,-6.33,-1.94,0.27,0.59
530,-0.28,-6.32,-6.29,-1.89,0.2,0.77
540,-0.09,-6.07,-6.18,-1.9,0.1,1.01
550,-0.05,-6.02,-6.1,-1.97,-0.05,1.21
560,-0.32,-6.19,-6.15,-2.09,-0.18,1.28
570,-0.94,-6.37,-6.36,-2.18,-0.28,1.17
580,-1.5,-6.32,-6.8,-2.23,-0.26,0.97
590,-1.86,-6.13,-7.08,-2.21,-0.15,0.79
600,-1.96,-6.0,-7.1,-2.16,-0.05,0.73
610,-1.85,-5.84,-6.97,-2.1,-0.02,0.73
620,-1.63,-5.57,-6.86,-2.05,-0.1,0.76
630,-1.48,-5.16,-6.92,-2.02,-0.23,0.84
640,-1.35,-4.62,-7.09,-2.0,-0.33,0.98
650,-1.4,-4.19,-7.27,-2.0,-0.39,1.18
660,-1.49,-4.27,-7.48,-2.04,-0.45,1.32
670,-1.69,-4.38,-7.82,-2.11,-0.48,1.25
680,-2.14,-4.48,-8.09,-2.19,-0.46,1.07
690,-2.5,-4.33,-8.39,-2.23,-0.36,0.9
700,-2.76,-4.08,-8.66,-2.25,-0.19,0.8
710,-2.79,-3.8,-8.85,-2.26,0.01,0.79
720,-2.56,-3.58,-8.78,-2.27,0.17,0.84
730,-2.14,-3.32,-8.56,-2.3,0.22,0.88
740,-1.79,-2.92,-8.44,-2.34,0.18,0.9
750,-1.6,-2.43,-8.44,-2.38,0.09,0.93
760,-1.75,-1.96,-8.53,-2.41,-0.04,1.03
770,-2.09,-1.5,-8.75,-2.37,-0.19,1.21
780,-2.59,-1.19,-9.32,-2.28,-0.32,1.39
790,-3.17,-1.26,-9.99,-2.16,-0.41,1.38
800,-3.81,-1.18,-10.78,-2.01,-0.44,1.1
810,-4.25,-0.95,-11.45,-1.82,-0.39,0.74
820,-4.4,-0.52,-11.85,-1.59,-0.27,0.46
830,-4.21,-0.14,-11.93,-1.38,-0.15,0.32
840,-3.69,0.11,-11.82,-1.2,-0.08,0.27
850,-3.33,0.33,-11.71,-1.08,-0.07,0.26
860,-3.13,0.36,-11.55,-0.98,-0.11,0.34
870,-3.06,0.39,-11.48,-0.89,-0.14,0.45
880,-3.24,0.18,-11.44,-0.79,-0.2,0.53
890,-3.49,-0.05,-11.57,-0.67,-0.26,0.5
900,-3.75,-0.16,-11.76,-0.54,-0.28,0.37
910,-3.88,-0.2,-11.88,-0.41,-0.26,0.23
920,-3.85,-0.21,-11.91,-0.3,-0.2,0.12
930,-3.66,-0.2,-11.77,-0.22,-0.14,0.04
940,-3.48,-0.23,-11.52,-0.19,-0.11,-0.0
950,-3.35,-0.23,-11.31,-0.19,-0.12,-0.01
960,-3.37,-0.13,-11.24,-0.21,-0.12,0.03
970,-3.43,-0.09,-11.3,-0.23,-0.12,0.09
980,-3.41,-0.17,-11.38,-0.24,-0.11,0.12
990,-3.36,-0.26,-11.37,-0.21,-0.12,0.09
