timestamp,ax,ay,az,gx,gy,gz
0,1.26,-9.93,-2.27,-0.17,-0.03,-0.11
10,1.24,-10.08,-2.36,-0.17,-0.03,-0.07
20,1.27,-10.29,-2.52,-0.19,-0.0,-0.03
30,1.33,-10.55,-2.58,-0.22,0.03,0.0
40,1.41,-10.88,-2.56,-0.22,0.03,0.03
50,1.46,-11.17,-2.53,-0.2,0.02,0.06
60,1.51,-11.43,-2.57,-0.19,-0.01,0.08
70,1.46,-11.65,-2.54,-0.18,-0.04,0.1
80,1.42,-11.8,-2.59,-0.2,-0.08,0.12
90,1.34,-11.98,-2.61,-0.25,-0.11,0.16
100,1.3,-12.22,-2.64,-0.34,-0.14,0.21
110,1.25,-12.47,-2.67,-0.45,-0.16,0.23
120,1.3,-12.65,-2.87,-0.56,-0.2,0.22
130,1.33,-12.67,-3.1,-0.63,-0.23,0.2
140,1.32,-12.51,-3.36,-0.63,-0.25,0.18
150,1.34,-12.31,-3.7,-0.53,-0.25,0.2
160,1.44,-12.16,-3.96,-0.41,-0.19,0.26
170,1.38,-11.98,-4.0,-0.33,-0.11,0.35
180,1.31,-11.79,-3.96,-0.25,-0.06,0.46
190,1.27,-11.56,-3.77,-0.13,-0.03,0.62
200,1.08,-11.41,-3.37,-0.02,-0.05,0.84
210,0.9,-11.32,-3.17,0.04,-0.07,1.11
220,0.83,-11.09,-3.31,0.15,-0.03,1.43
230,0.72,-10.93,-3.2,0.38,0.08,1.79
240,0.33,-10.97,-2.92,0.56,0.23,2.17
250,0.03,-11.49,-2.88,0.49,0.56,2.47
260,-0.09,-11.88,-2.51,0.23,1.0,2.55
270,-0.47,-11.88,-1.78,0.05,1.3,2.43
280,-0.7,-11.33,-0.77,0.07,1.33,2.28
290,-0.8,-10.32,0.31,0.5,1.03,2.24
300,-0.67,-9.23,1.03,1.33,0.41,2.4
310,-0.68,-8.26,1.08,2.1,-0.29,2.68
320,-0.85,-8.43,0.65,2.34,-0.82,2.87
330,-1.01,-8.53,0.29,2.03,-1.07,2.89
340,-1.36,-8.68,-0.01,1.38,-1.12,2.81
350,-1.62,-8.5,-0.16,0.54,-1.05,2.7
360,-1.69,-8.16,0.11,0.13,-1.04,2.61
370,-1.53,-7.51,0.15,0.18,-1.21,2.58
380,-1.55,-6.82,0.11,0.42,-1.55,2.6
390,-1.57,-5.97,0.06,0.8,-2.03,2.68
400,-1.69,-5.25,-0.39,1.18,-2.49,2.81
410,-1.96,-4.96,-1.12,1.29,-2.76,3.05
420,-2.21,-4.57,-1.77,1.06,-2.78,3.41
430,-2.49,-4.46,-2.37,0.67,-2.59,3.78
440,-2.89,-4.26,-2.73,0.22,-2.28,4.11
450,-3.13,-4.63,-2.66,-0.13,-1.97,4.36
460,-3.47,-5.31,-2.42,-0.31,-1.72,4.45
470,-3.97,-5.83,-2.13,-0.3,-1.57,4.33
480,-4.37,-6.12,-1.92,-0.15,-1.48,4.07
490,-4.78,-6.18,-1.79,0.04,-1.42,3.77
500,-4.99,-5.63,-1.68,0.18,-1.31,3.53
510,-5.08,-4.95,-1.44,0.3,-1.17,3.38
520,-5.15,-4.19,-1.08,0.42,-1.01,3.33
530,-5.25,-3.37,-0.5,0.53,-0.86,3.39
540,-5.53,-2.89,0.15,0.65,-0.72,3.51
550,-5.95,-2.67,0.7,0.79,-0.58,3.63
560,-6.5,-2.59,1.24,0.89,-0.46,3.72
570,-6.81,-2.48,1.67,0.93,-0.38,3.77
580,-7.03,-2.37,1.98,0.94,-0.35,3.77
590,-7.17,-2.17,2.22,0.94,-0.43,3.73
600,-7.25,-2.15,2.22,0.96,-0.54,3.66
610,-7.4,-2.07,2.17,0.96,-0.64,3.56
620,-7.53,-1.82,2.21,0.95,-0.71,3.45
