timestamp,ax,ay,az,gx,gy,gz
0,0.99,-9.79,2.12,-0.15,-0.32,0.1
10,0.85,-10.13,2.08,-0.18,-0.3,0.1
20,0.73,-10.52,2.04,-0.24,-0.29,0.09
30,0.72,-10.86,1.96,-0.32,-0.29,0.08
40,0.89,-11.25,1.83,-0.4,-0.31,0.06
50,1.11,-11.59,1.77,-0.44,-0.36,0.03
60,1.29,-11.93,1.73,-0.41,-0.45,-0.02
70,1.37,-12.41,1.8,-0.33,-0.58,-0.08
80,1.44,-12.92,1.82,-0.23,-0.69,-0.12
90,1.52,-13.21,1.81,-0.17,-0.75,-0.16
100,1.57,-13.38,1.71,-0.19,-0.75,-0.17
110,1.67,-13.38,1.73,-0.28,-0.74,-0.16
120,1.64,-13.36,1.8,-0.41,-0.72,-0.11
130,1.7,-13.4,1.9,-0.57,-0.7,-0.02
140,1.91,-13.3,1.89,-0.72,-0.67,0.07
150,2.15,-13.19,1.81,-0.83,-0.63,0.15
160,2.29,-13.01,1.8,-0.92,-0.59,0.2
170,2.35,-12.74,1.8,-0.95,-0.56,0.24
180,2.44,-12.56,1.77,-0.93,-0.5,0.3
190,2.51,-12.31,1.82,-0.87,-0.46,0.36
200,2.5,-12.07,1.87,-0.78,-0.44,0.45
210,2.45,-11.68,1.87,-0.66,-0.45,0.58
220,2.4,-11.02,1.65,-0.53,-0.47,0.77
230,2.15,-10.69,1.71,-0.43,-0.5,1.03
240,1.78,-10.46,1.89,-0.44,-0.55,1.27
250,1.47,-10.37,1.96,-0.6,-0.63,1.4
260,1.3,-10.36,1.89,-0.89,-0.7,1.4
270,1.16,-10.0,1.58,-1.22,-0.77,1.31
280,0.97,-9.34,0.96,-1.42,-0.77,1.27
290,1.1,-8.88,0.25,-1.42,-0.69,1.36
300,1.1,-8.6,0.06,-1.25,-0.59,1.55
310,0.97,-8.33,0.12,-1.0,-0.57,1.77
320,0.98,-8.09,0.24,-0.79,-0.72,1.94
330,0.77,-8.31,0.5,-0.69,-0.94,2.0
340,0.52,-8.25,0.44,-0.72,-1.14,1.95
350,0.33,-7.99,0.15,-0.84,-1.28,1.87
360,0.3,-7.94,-0.03,-0.9,-1.33,1.84
370,0.31,-7.67,-0.23,-0.86,-1.34,1.87
380,0.4,-7.22,-0.37,-0.73,-1.36,1.96
390,0.5,-6.85,-0.42,-0.51,-1.39,2.09
400,0.48,-6.18,-0.56,-0.23,-1.41,2.29
410,0.46,-5.88,-0.47,0.03,-1.45,2.59
420,0.47,-5.73,-0.33,0.13,-1.52,2.91
430,0.31,-5.83,-0.2,0.06,-1.61,3.17
440,0.18,-5.33,-0.29,-0.16,-1.7,3.34
450,-0.12,-5.09,-0.49,-0.37,-1.76,3.46
460,-0.07,-5.13,-0.76,-0.48,-1.76,3.56
470,-0.23,-4.83,-0.82,-0.41,-1.65,3.63
480,-0.38,-4.46,-0.71,-0.09,-1.54,3.74
490,-0.41,-4.36,-0.4,0.32,-1.49,3.89
500,-0.29,-3.93,-0.06,0.67,-1.48,4.13
510,-0.15,-3.27,0.35,0.88,-1.49,4.48
520,-0.2,-2.68,0.71,0.86,-1.52,4.94
530,-0.6,-2.36,1.13,0.59,-1.6,5.44
540,-1.67,-2.56,1.4,0.12,-1.74,5.79
550,-2.4,-2.94,1.09,-0.34,-1.84,5.82
560,-3.18,-3.08,1.04,-0.51,-1.86,5.5
570,-4.18,-3.1,1.16,-0.37,-1.87,5.04
580,-5.21,-2.77,1.25,-0.08,-1.91,4.63
590,-5.9,-2.22,1.18,0.24,-1.91,4.34
600,-6.43,-1.38,1.03,0.44,-1.87,4.19
