timestamp,x,y,z
0,-3.14,-8.18,3.43
10,-3.19,-8.28,3.47
20,-3.18,-8.51,3.61
30,-3.12,-8.77,3.78
40,-3.04,-8.96,3.84
50,-3.0,-9.07,3.73
60,-2.97,-9.1,3.58
70,-2.94,-9.11,3.43
80,-2.89,-9.09,3.3
90,-2.88,-9.05,3.21
100,-2.86,-8.97,3.14
110,-2.81,-8.91,3.09
120,-2.85,-8.96,3.12
130,-2.91,-9.1,3.15
140,-2.95,-9.29,3.21
150,-3.0,-9.53,3.28
160,-2.97,-9.73,3.23
170,-2.93,-9.84,3.11
180,-2.89,-9.91,2.94
190,-2.88,-10.03,2.83
200,-2.95,-10.27,2.7
210,-2.98,-10.62,2.67
220,-3.13,-11.22,2.85
230,-3.35,-11.94,3.09
240,-3.43,-12.52,3.4
250,-3.4,-12.83,3.51
260,-3.24,-12.92,3.37
270,-3.09,-12.94,3.08
280,-2.96,-12.85,2.82
290,-2.86,-12.6,2.83
300,-2.8,-12.49,2.61
310,-2.92,-12.69,2.37
320,-2.86,-12.81,2.22
330,-2.5,-12.46,2.31
340,-2.23,-12.44,2.63
350,-2.06,-12.95,2.94
360,-1.89,-13.13,3.27
370,-1.98,-13.35,3.5
380,-2.07,-13.61,3.6
390,-2.24,-13.69,3.64
400,-2.27,-13.82,4.03
410,-2.29,-13.87,3.94
420,-2.22,-13.31,3.83
430,-2.04,-12.6,3.18
440,-1.81,-11.9,2.66
450,-1.7,-11.59,2.39
460,-1.62,-11.34,2.21
470,-1.56,-11.2,2.19
480,-1.47,-11.21,2.49
490,-1.24,-11.11,2.23
500,-1.07,-10.89,2.21
510,-0.95,-10.72,2.08
520,-0.86,-10.43,1.76
530,-0.83,-10.13,1.45
540,-0.79,-10.34,1.34
550,-0.74,-10.51,1.27
560,-0.75,-10.6,1.13
570,-0.7,-10.27,0.73
580,-0.55,-9.84,0.23
590,-0.36,-9.5,-0.11
600,-0.18,-9.26,-0.08
610,-0.02,-9.01,-0.04
620,0.05,-8.46,-0.3
630,0.04,-7.83,-0.63
640,0.08,-7.25,-1.16
650,0.16,-6.79,-1.61
660,0.38,-6.59,-1.85
670,0.6,-6.39,-1.77
680,0.92,-6.24,-2.03
690,1.01,-5.78,-2.14
700,0.93,-5.3,-2.22
710,0.74,-5.17,-1.91
720,0.59,-4.89,-1.92
730,0.63,-4.2,-2.43
740,0.86,-3.62,-3.04
750,1.37,-2.72,-3.67
760,1.96,-2.28,-4.21
770,2.37,-1.83,-4.51
780,2.52,-1.71,-4.45
790,2.54,-1.59,-4.4
800,2.37,-1.41,-4.25
810,2.01,-1.29,-4.21
820,1.53,-1.01,-4.3
830,1.11,-0.72,-4.66
840,1.17,-0.55,-5.05
850,1.56,-0.09,-5.64
860,2.11,0.52,-6.26
870,2.62,0.84,-6.46
880,3.01,0.75,-6.34
890,3.23,0.67,-6.11
900,3.22,0.36,-5.93
910,3.13,0.03,-5.66
920,3.03,0.04,-5.82
930,3.01,0.32,-6.17
940,2.85,0.82,-6.8
950,2.68,1.32,-7.28
960,2.63,1.26,-7.13
970,2.83,0.83,-7.08
980,3.0,0.41,-7.29
990,3.16,0.28,-7.52
1000,3.02,0.53,-8.19
