timestamp,x,y,z
0,0.45,-9.69,-1.05
10,0.43,-9.67,-1.09
20,0.38,-9.59,-1.18
30,0.36,-9.54,-1.24
40,0.38,-9.6,-1.26
50,0.46,-9.75,-1.14
60,0.55,-9.92,-1.04
70,0.66,-10.1,-0.93
80,0.72,-10.28,-0.88
90,0.71,-10.3,-0.9
100,0.64,-10.21,-0.93
110,0.57,-10.1,-1.12
120,0.52,-9.92,-1.36
130,0.46,-9.86,-1.54
140,0.45,-9.91,-1.75
150,0.43,-10.03,-1.86
160,0.4,-10.2,-1.75
170,0.43,-10.49,-1.43
180,0.46,-10.75,-1.26
190,0.49,-10.96,-1.22
200,0.56,-11.06,-1.27
210,0.57,-11.08,-1.44
220,0.51,-11.17,-1.82
230,0.41,-11.41,-2.23
240,0.26,-11.84,-2.5
250,0.11,-12.25,-2.69
260,-0.08,-12.65,-2.67
270,-0.16,-13.07,-2.13
280,-0.19,-13.69,-1.5
290,-0.27,-14.52,-1.35
300,-0.4,-15.23,-1.71
310,-0.23,-15.2,-2.16
320,0.0,-14.8,-2.57
330,0.18,-14.57,-2.84
340,0.39,-14.02,-2.65
350,0.79,-13.69,-2.73
360,1.04,-13.49,-2.76
370,1.16,-13.33,-2.29
380,1.13,-13.34,-1.86
390,0.88,-13.34,-1.49
400,0.63,-13.16,-1.53
410,0.43,-12.76,-1.87
420,0.42,-12.17,-2.18
430,0.53,-11.65,-2.48
440,0.85,-11.1,-2.76
450,1.16,-10.53,-2.95
460,1.46,-10.09,-2.85
470,1.71,-9.96,-2.5
480,1.94,-9.99,-2.15
490,2.07,-9.81,-1.93
500,2.01,-9.53,-1.88
510,1.87,-9.27,-2.13
520,1.71,-9.03,-2.35
530,1.68,-8.59,-2.42
540,1.81,-7.98,-2.71
550,2.09,-7.34,-2.96
560,2.42,-6.84,-3.11
570,2.67,-6.36,-3.31
580,2.83,-6.22,-3.22
590,2.95,-6.27,-3.13
600,3.07,-6.06,-3.28
610,3.22,-5.86,-3.57
620,3.42,-5.47,-3.76
630,3.64,-5.13,-3.96
640,3.86,-4.84,-4.15
650,4.03,-4.48,-4.44
660,4.07,-4.21,-4.57
670,3.89,-3.88,-4.63
680,3.73,-3.65,-4.65
690,3.59,-3.55,-4.53
700,3.57,-3.32,-4.4
710,3.72,-3.04,-4.37
720,3.97,-2.52,-4.36
730,4.15,-2.1,-4.31
740,4.29,-1.82,-4.13
750,4.43,-1.56,-4.08
760,4.51,-1.28,-4.15
770,4.7,-0.83,-4.3
780,4.81,-0.41,-4.43
790,4.68,-0.29,-4.2
800,4.29,-0.23,-3.81
810,3.87,0.01,-3.51
820,3.46,0.27,-3.41
830,3.26,0.6,-3.49
840,3.25,0.9,-3.93
850,3.39,1.12,-3.95
860,3.61,1.22,-3.81
870,3.66,1.58,-4.21
880,3.8,2.25,-4.68
890,4.23,2.86,-5.2
900,4.85,3.4,-5.48
910,5.63,3.77,-5.54
920,6.45,4.55,-5.78
930,7.22,5.39,-6.2
940,8.08,5.94,-7.04
950,8.45,6.54,-7.63
960,9.28,6.83,-9.13
970,10.11,6.65,-10.47
980,11.57,5.64,-11.65
990,13.07,4.14,-12.39
1000,15.22,2.21,-12.92
